article_id,paragraph_id,difficulty_level,IA_ID,tee_ctx,surprisal_ctx
0,1,Adv,1,,7.56918210571014
0,1,Adv,2,,13.079620435834702
0,1,Adv,3,,10.293454712576168
0,1,Adv,4,,2.868722211186907
0,1,Adv,5,84.35234221010171,9.748090847384166
0,1,Adv,6,86.15732190054295,9.61220116356203
0,1,Adv,7,83.77504030483246,1.3426450796541043
0,1,Adv,8,71.00748327658476,0.23478235230150815
0,1,Adv,9,93.58766847298305,14.033178204578725
0,1,Adv,10,91.5306164932273,0.8204256077193152
0,1,Adv,11,102.09685977667375,0.3506145379689379
0,1,Adv,12,89.60013781476493,1.5814021444975341
0,1,Adv,13,84.95003391384843,5.568752831517916
0,1,Adv,14,97.41313918806584,10.938199784465148
0,1,Adv,15,103.11349397637869,9.283944757166221
0,1,Adv,16,81.83461546675674,2.872582361785523
0,1,Adv,17,74.71391717893316,2.054822055197954
0,1,Adv,18,66.83153131623126,2.7189002128183746
0,1,Adv,19,71.18080234325582,4.885971388633513
0,1,Adv,20,91.31579756814588,5.455058196720229
0,1,Adv,21,96.52378797205334,4.961247506985562
0,1,Adv,22,73.05316032023977,4.599113958022797
0,1,Adv,23,87.49148480806039,3.6248356805380038
0,1,Adv,24,90.1666216986683,7.9255026410737415
0,1,Adv,25,108.21336386861024,11.096149338948154
0,1,Adv,26,93.82843754321199,5.155532180081656
0,1,Adv,27,96.8312907351961,0.9564225227242643
0,1,Adv,28,69.23789775652834,3.6691669605203066
0,1,Adv,29,98.26143356166112,7.440948401573813
0,1,Adv,30,86.47421080331523,0.0893593154278291
0,1,Adv,31,115.59082786738082,1.989539676704893
0,1,Adv,32,102.62839258993043,0.5554450152332887
0,1,Adv,33,102.04653001608413,5.462875152167245
0,1,Adv,34,71.77917951806955,1.5784492023822196
0,1,Adv,35,102.12861525989989,5.286335305021874
0,1,Adv,36,101.9294164444503,8.03808489208565
0,1,Adv,37,95.3026885262048,14.274599921588118
0,1,Adv,38,95.83290324210002,14.46967365108637
0,1,Adv,39,90.29877578504629,2.81928132664747
0,1,Adv,40,91.19429508221343,5.968829364896685
0,1,Adv,41,89.32634266774443,0.0161751040187076
0,1,Adv,42,69.07525130420795,0.5498480978349348
0,1,Adv,43,100.12614685879647,5.672365499356724
0,1,Adv,44,97.52209325547298,0.14929373215857583
0,1,Adv,45,86.44889579886816,7.266218800815761
0,1,Adv,46,86.9004387244244,5.466867557424374
0,1,Adv,47,85.84064608140709,13.027564125132269
0,1,Adv,48,68.8883357785256,3.199824586489193
0,1,Adv,49,80.44763434370365,5.074707213482171
0,1,Adv,50,81.47299720654522,5.726588877451354
0,1,Adv,51,87.73881343070644,7.400715468161571
0,1,Adv,52,78.67689332005527,0.15482582284647003
0,1,Adv,53,87.01723027602921,4.9103863897153
0,1,Adv,54,83.95095161747919,1.0758016140895945
0,1,Adv,55,79.21122737080933,6.0365896694233765
0,1,Adv,56,107.19782902441445,4.841749833582462
0,1,Adv,57,95.36181818018322,4.321208568354792
0,1,Adv,58,86.2961496755483,7.450276740556611
0,1,Adv,59,88.70171316655814,1.6054119544538874
0,1,Adv,60,85.49646279756904,10.848215709811312
0,1,Adv,61,95.70646437616779,7.698217248999488
0,1,Adv,62,85.98216619887617,0.15220652707382945
0,1,Adv,63,90.24966305881561,0.3458644416456012
0,1,Adv,64,89.59565164765026,7.274874386664047
0,1,Adv,65,81.1031324870713,0.7711631551801486
0,1,Adv,66,64.19860952806289,3.9625827775390254
0,1,Adv,67,87.98695966340614,8.23483063691559
0,1,Adv,68,87.97462527512627,0.3432847878739845
0,1,Adv,69,74.93949073281583,2.9904871318763315
0,1,Adv,70,78.05850710632646,1.5545811061301775
