item,Type,WordPosition,tee_v,surp_v,sent_len_v
1,MVRR_AMB,1,,0.0,12
1,MVRR_AMB,2,,14.173537254333496,12
1,MVRR_AMB,3,,12.483732223510742,12
1,MVRR_AMB,4,,2.5709025859832764,12
1,MVRR_AMB,5,88.85641064766546,10.285825729370117,12
1,MVRR_AMB,6,105.9911488098694,22.45379066467285,12
1,MVRR_AMB,7,108.72773483196627,11.849361419677734,12
1,MVRR_AMB,8,107.19747574381827,0.8801974654197693,12
1,MVRR_AMB,9,109.48212529242045,12.246143341064453,12
1,MVRR_AMB,10,83.5924324069792,1.2862368822097778,12
1,MVRR_AMB,11,83.19115519511054,9.892730712890625,12
1,MVRR_AMB,12,92.04622931324704,5.822561860084534,12
1,MVRR_UAMB,1,,0.0,14
1,MVRR_UAMB,2,,14.173553466796875,14
1,MVRR_UAMB,3,,7.003744602203369,14
1,MVRR_UAMB,4,,2.1267359256744385,14
1,MVRR_UAMB,5,85.24031251071209,10.15203857421875,14
1,MVRR_UAMB,6,83.60759165996858,7.2873921394348145,14
1,MVRR_UAMB,7,82.45576435413821,10.538127899169922,14
1,MVRR_UAMB,8,107.82628792480716,15.68733024597168,14
1,MVRR_UAMB,9,111.82598935736853,10.51375961303711,14
1,MVRR_UAMB,10,107.35781649044381,1.8171381950378418,14
1,MVRR_UAMB,11,111.09564088135089,11.285719871520996,14
1,MVRR_UAMB,12,83.6303845477983,1.290454626083374,14
1,MVRR_UAMB,13,83.76796338863396,9.595724105834961,14
1,MVRR_UAMB,14,92.5845212990762,6.243311047554016,14
1,NPS_AMB,1,,0.0,12
1,NPS_AMB,2,,14.173537254333496,12
1,NPS_AMB,3,,11.920894622802734,12
1,NPS_AMB,4,,4.601181983947754,12
1,NPS_AMB,5,93.50915997478984,12.149014472961426,12
1,NPS_AMB,6,107.43307297710261,22.74797821044922,12
1,NPS_AMB,7,110.88574420644672,8.313689231872559,12
1,NPS_AMB,8,105.62842108521983,0.5981128215789795,12
1,NPS_AMB,9,102.57050910579903,10.455792427062988,12
1,NPS_AMB,10,72.62379758388285,1.9839643239974976,12
1,NPS_AMB,11,100.4690436158614,8.341903686523438,12
1,NPS_AMB,12,97.81516390182533,3.3058265447616577,12
1,NPS_UAMB,1,,0.0,13
1,NPS_UAMB,2,,14.173553466796875,13
1,NPS_UAMB,3,,11.92087459564209,13
1,NPS_UAMB,4,,7.421473979949951,13
1,NPS_UAMB,5,73.26993927034121,3.094822406768799,13
1,NPS_UAMB,6,85.2914926356022,12.30284595489502,13
1,NPS_UAMB,7,106.17387681383305,17.065723419189453,13
1,NPS_UAMB,8,111.8676002307913,7.359795093536377,13
1,NPS_UAMB,9,106.08877974696848,0.5901275873184204,13
1,NPS_UAMB,10,102.36812211282114,10.515617370605469,13
1,NPS_UAMB,11,72.30580844571368,1.9453045129776,13
1,NPS_UAMB,12,100.88175220278285,8.699447631835938,13
1,NPS_UAMB,13,98.20785658573652,3.1817760467529297,13
1,NPZ_AMB,1,,0.0,13
1,NPZ_AMB,2,,3.6404292583465576,13
1,NPZ_AMB,3,,12.351561546325684,13
1,NPZ_AMB,4,,11.633003234863281,13
1,NPZ_AMB,5,82.69163666873554,3.02276873588562,13
1,NPZ_AMB,6,97.87589907852184,10.579914093017578,13
1,NPZ_AMB,7,107.54861698717632,24.493675231933594,13
1,NPZ_AMB,8,112.40228726247099,8.488797187805176,13
1,NPZ_AMB,9,106.60633458896572,0.5650959014892578,13
1,NPZ_AMB,10,103.64482878191312,11.568846702575684,13
1,NPZ_AMB,11,71.7539068555171,1.3164360523223877,13
1,NPZ_AMB,12,103.28247889761919,12.541574478149414,13
1,NPZ_AMB,13,103.13216737232341,15.475970983505249,13
1,NPZ_UAMB,1,,0.0,13
1,NPZ_UAMB,2,,3.6404292583465576,13
1,NPZ_UAMB,3,,12.351561546325684,13
1,NPZ_UAMB,4,,19.22301435470581,13
1,NPZ_UAMB,5,67.74517219735006,2.427839517593384,13
1,NPZ_UAMB,6,90.35925477314355,11.869348526000977,13
1,NPZ_UAMB,7,104.72612849496612,18.665267944335938,13
1,NPZ_UAMB,8,111.51502755908074,7.235965728759766,13
1,NPZ_UAMB,9,104.57721001310401,1.001181960105896,13
1,NPZ_UAMB,10,100.2178936029573,12.279227256774902,13
1,NPZ_UAMB,11,71.10975270279357,1.2153242826461792,13
1,NPZ_UAMB,12,101.86237502623062,11.073744773864746,13
1,NPZ_UAMB,13,102.53814750174394,15.083751261234283,13
2,MVRR_AMB,1,,0.0,12
2,MVRR_AMB,2,,15.918299674987793,12
2,MVRR_AMB,3,,8.81047534942627,12
2,MVRR_AMB,4,,12.791646957397461,12
2,MVRR_AMB,5,85.72072032022731,2.914924383163452,12
2,MVRR_AMB,6,93.38158132443759,6.27560567855835,12
2,MVRR_AMB,7,101.40608990124878,18.434019088745117,12
2,MVRR_AMB,8,89.10718833395,16.315349578857422,12
2,MVRR_AMB,9,97.13340033149917,2.474501848220825,12
2,MVRR_AMB,10,87.32380794747769,2.331153392791748,12
2,MVRR_AMB,11,94.88045172613253,15.5675630569458,12
2,MVRR_AMB,12,95.9374925834433,11.327866077423096,12
2,MVRR_UAMB,1,,0.0,14
2,MVRR_UAMB,2,,15.918299674987793,14
2,MVRR_UAMB,3,,8.810439109802246,14
2,MVRR_UAMB,4,,3.8776659965515137,14
2,MVRR_UAMB,5,76.2739870281777,4.165954113006592,14
2,MVRR_UAMB,6,89.7847204284068,10.03210163116455,14
2,MVRR_UAMB,7,90.99819520899673,1.8571110963821411,14
2,MVRR_UAMB,8,83.83501964099806,7.6041259765625,14
2,MVRR_UAMB,9,100.37002839878035,10.989286422729492,14
2,MVRR_UAMB,10,89.13899669183371,15.425808906555176,14
2,MVRR_UAMB,11,97.1261393293669,3.388235092163086,14
2,MVRR_UAMB,12,88.03517149842946,2.358102798461914,14
2,MVRR_UAMB,13,95.04505183787104,15.861771583557129,14
2,MVRR_UAMB,14,95.48653147743238,11.116316080093384,14
2,NPS_AMB,1,,0.0,12
2,NPS_AMB,2,,15.918299674987793,12
2,NPS_AMB,3,,8.81047534942627,12
2,NPS_AMB,4,,12.904423713684082,12
2,NPS_AMB,5,81.99670205798594,3.8687844276428223,12
2,NPS_AMB,6,92.232814445286,9.356993675231934,12
2,NPS_AMB,7,95.51001223956459,11.935114860534668,12
2,NPS_AMB,8,92.03183550657617,16.86346435546875,12
2,NPS_AMB,9,96.09833944072507,0.9180929064750671,12
2,NPS_AMB,10,86.58555523675321,2.2646610736846924,12
2,NPS_AMB,11,95.32845408992537,15.109565734863281,12
2,NPS_AMB,12,95.99803197487557,11.127580165863037,12
2,NPS_UAMB,1,,0.0,13
2,NPS_UAMB,2,,15.918299674987793,13
2,NPS_UAMB,3,,8.810439109802246,13
2,NPS_UAMB,4,,12.90440559387207,13
2,NPS_UAMB,5,80.69057537520331,3.1704747676849365,13
2,NPS_UAMB,6,71.97999554046076,2.928152561187744,13
2,NPS_UAMB,7,86.65241823097877,9.339645385742188,13
2,NPS_UAMB,8,93.3792174905799,10.580639839172363,13
2,NPS_UAMB,9,92.05343491177415,17.1876163482666,13
2,NPS_UAMB,10,94.39778235668769,0.8366402983665466,13
2,NPS_UAMB,11,86.09213795260187,1.8259925842285156,13
2,NPS_UAMB,12,94.88373436810305,14.711297035217285,13
2,NPS_UAMB,13,95.04926090027192,10.364784002304077,13
2,NPZ_AMB,1,,0.0,13
2,NPZ_AMB,2,,3.3445513248443604,13
2,NPZ_AMB,3,,15.327759742736816,13
2,NPZ_AMB,4,,8.619420051574707,13
2,NPZ_AMB,5,91.10006497292446,10.519754409790039,13
2,NPZ_AMB,6,78.34118278346159,2.1558027267456055,13
2,NPZ_AMB,7,90.9298603147059,3.231621742248535,13
2,NPZ_AMB,8,100.5624373083923,16.279401779174805,13
2,NPZ_AMB,9,89.90908378271774,15.35324764251709,13
2,NPZ_AMB,10,98.93944550001973,2.715006113052368,13
2,NPZ_AMB,11,88.27708205771006,1.901614785194397,13
2,NPZ_AMB,12,95.97868622715316,14.732746124267578,13
2,NPZ_AMB,13,95.1232342522985,11.579284191131592,13
2,NPZ_UAMB,1,,0.0,13
2,NPZ_UAMB,2,,3.3445513248443604,13
2,NPZ_UAMB,3,,15.327759742736816,13
2,NPZ_UAMB,4,,8.619420051574707,13
2,NPZ_UAMB,5,89.95302404802871,16.165456295013428,13
2,NPZ_UAMB,6,64.56242302403369,2.386094331741333,13
2,NPZ_UAMB,7,90.67957904069593,8.24939250946045,13
2,NPZ_UAMB,8,92.82719288121338,7.882009029388428,13
2,NPZ_UAMB,9,92.97423008537552,16.01555633544922,13
2,NPZ_UAMB,10,96.67577780681685,1.2960619926452637,13
2,NPZ_UAMB,11,86.83306571876491,1.6941416263580322,13
2,NPZ_UAMB,12,96.10492783824208,14.469182014465332,13
2,NPZ_UAMB,13,96.0567197500849,10.589690208435059,13
3,MVRR_AMB,1,,0.0,14
3,MVRR_AMB,2,,11.478897094726562,14
3,MVRR_AMB,3,,10.688173294067383,14
3,MVRR_AMB,4,,2.429334878921509,14
3,MVRR_AMB,5,87.88211442909437,12.263589859008789,14
3,MVRR_AMB,6,94.70960421847836,20.572248458862305,14
3,MVRR_AMB,7,74.80047925993293,12.978915214538574,14
3,MVRR_AMB,8,102.33616557779473,5.80144739151001,14
3,MVRR_AMB,9,86.77723506367835,12.00275993347168,14
3,MVRR_AMB,10,86.02126790290994,1.6474241018295288,14
3,MVRR_AMB,11,82.11206173669463,12.584115982055664,14
3,MVRR_AMB,12,95.1137759020086,0.5498719215393066,14
3,MVRR_AMB,13,91.73136118957979,5.537099838256836,14
3,MVRR_AMB,14,73.25975429140003,10.69090723991394,14
3,MVRR_UAMB,1,,0.0,16
3,MVRR_UAMB,2,,11.478897094726562,16
3,MVRR_UAMB,3,,3.9793741703033447,16
3,MVRR_UAMB,4,,3.1895899772644043,16
3,MVRR_UAMB,5,87.74087913377495,9.089719772338867,16
3,MVRR_UAMB,6,89.12420068522,9.48643684387207,16
3,MVRR_UAMB,7,86.00588933557115,11.75271224975586,16
3,MVRR_UAMB,8,99.30946757476185,12.373635292053223,16
3,MVRR_UAMB,9,76.2139201423361,10.928732872009277,16
3,MVRR_UAMB,10,104.07177342652714,4.9011616706848145,16
3,MVRR_UAMB,11,87.31473388036419,11.657065391540527,16
3,MVRR_UAMB,12,86.07973541116198,1.8296419382095337,16
3,MVRR_UAMB,13,82.35942502301344,12.686708450317383,16
3,MVRR_UAMB,14,94.5127400281136,0.5564568042755127,16
3,MVRR_UAMB,15,90.97133988568977,5.299260139465332,16
3,MVRR_UAMB,16,73.05014343033675,11.671353876590729,16
3,NPS_AMB,1,,0.0,11
3,NPS_AMB,2,,11.478897094726562,11
3,NPS_AMB,3,,14.440671920776367,11
3,NPS_AMB,4,,4.054483413696289,11
3,NPS_AMB,5,92.52486816026727,16.578460693359375,11
3,NPS_AMB,6,97.13518071856949,13.499913215637207,11
3,NPS_AMB,7,77.27211107173473,12.375493049621582,11
3,NPS_AMB,8,103.02652330462429,3.595111608505249,11
3,NPS_AMB,9,71.18688831313715,0.8216705918312073,11
3,NPS_AMB,10,92.73782827335492,7.148852348327637,11
3,NPS_AMB,11,104.19655453730462,5.715162038803101,11
3,NPS_UAMB,1,,0.0,12
3,NPS_UAMB,2,,11.478897094726562,12
3,NPS_UAMB,3,,14.440671920776367,12
3,NPS_UAMB,4,,1.0314191579818726,12
3,NPS_UAMB,5,70.93457566277331,2.7336058616638184,12
3,NPS_UAMB,6,87.23511593613313,14.952070236206055,12
3,NPS_UAMB,7,94.21627990423087,11.826024055480957,12
3,NPS_UAMB,8,75.73474961438696,11.163263320922852,12
3,NPS_UAMB,9,101.47324236396655,3.0836634635925293,12
3,NPS_UAMB,10,71.90918516336396,0.9734761714935303,12
3,NPS_UAMB,11,92.33257478092767,7.407247543334961,12
3,NPS_UAMB,12,103.54803137793176,6.1729888916015625,12
3,NPZ_AMB,1,,0.0,12
3,NPZ_AMB,2,,3.3445451259613037,12
3,NPZ_AMB,3,,11.11516284942627,12
3,NPZ_AMB,4,,8.446237564086914,12
3,NPZ_AMB,5,83.96318857126789,6.647484302520752,12
3,NPZ_AMB,6,88.47751196673826,13.710941314697266,12
3,NPZ_AMB,7,96.5893090416761,19.675981521606445,12
3,NPZ_AMB,8,73.91658505086644,12.201574325561523,12
3,NPZ_AMB,9,102.77671191051859,3.707209825515747,12
3,NPZ_AMB,10,58.91229965439097,1.3713068962097168,12
3,NPZ_AMB,11,97.15494681796072,9.275542259216309,12
3,NPZ_AMB,12,97.16248785383289,8.287900447845459,12
3,NPZ_UAMB,1,,0.0,12
3,NPZ_UAMB,2,,3.3445513248443604,12
3,NPZ_UAMB,3,,11.11515998840332,12
3,NPZ_UAMB,4,,12.742711067199707,12
3,NPZ_UAMB,5,64.75637929626595,2.5563058853149414,12
3,NPZ_UAMB,6,88.46509828868733,15.672080039978027,12
3,NPZ_UAMB,7,93.27584525438049,8.657477378845215,12
3,NPZ_UAMB,8,76.25081600188969,11.755999565124512,12
3,NPZ_UAMB,9,101.71292428957152,3.804018259048462,12
3,NPZ_UAMB,10,57.94590744213322,1.6919832229614258,12
3,NPZ_UAMB,11,96.79614728882832,9.238993644714355,12
3,NPZ_UAMB,12,96.33126689920792,7.978761792182922,12
4,MVRR_AMB,1,,0.0,14
4,MVRR_AMB,2,,12.78433609008789,14
4,MVRR_AMB,3,,15.503024101257324,14
4,MVRR_AMB,4,,2.2167375087738037,14
4,MVRR_AMB,5,100.42078290923696,7.626072406768799,14
4,MVRR_AMB,6,102.02010373539632,16.901254653930664,14
4,MVRR_AMB,7,89.23036539604944,15.108744621276855,14
4,MVRR_AMB,8,103.16382507746495,4.933340549468994,14
4,MVRR_AMB,9,94.89577989465852,6.228147983551025,14
4,MVRR_AMB,10,78.96289117530347,4.6254119873046875,14
4,MVRR_AMB,11,75.50473576801161,2.8037221431732178,14
4,MVRR_AMB,12,87.70596320891768,9.226214408874512,14
4,MVRR_AMB,13,100.43859886007259,4.698307514190674,14
4,MVRR_AMB,14,112.65476657139078,1.5524243991822004,14
4,MVRR_UAMB,1,,0.0,16
4,MVRR_UAMB,2,,12.78433609008789,16
4,MVRR_UAMB,3,,5.329400062561035,16
4,MVRR_UAMB,4,,2.5354716777801514,16
4,MVRR_UAMB,5,92.19662569108611,12.478052139282227,16
4,MVRR_UAMB,6,92.14471767169678,4.193400859832764,16
4,MVRR_UAMB,7,88.63496142767814,7.28717041015625,16
4,MVRR_UAMB,8,101.81081633914228,12.381117820739746,16
4,MVRR_UAMB,9,91.43636859276923,15.66445255279541,16
4,MVRR_UAMB,10,103.2487881912312,4.892477035522461,16
4,MVRR_UAMB,11,97.16853362662147,6.172617435455322,16
4,MVRR_UAMB,12,79.26176707198059,4.074265480041504,16
4,MVRR_UAMB,13,75.58588914464801,3.146773338317871,16
4,MVRR_UAMB,14,87.70901513188343,9.083704948425293,16
4,MVRR_UAMB,15,99.91378320419581,5.203922271728516,16
4,MVRR_UAMB,16,113.11753232836007,1.7081398330628872,16
4,NPS_AMB,1,,0.0,12
4,NPS_AMB,2,,12.784330368041992,12
4,NPS_AMB,3,,9.151544570922852,12
4,NPS_AMB,4,,2.6222615242004395,12
4,NPS_AMB,5,103.0337883732792,11.728418350219727,12
4,NPS_AMB,6,106.66718581502079,17.215415954589844,12
4,NPS_AMB,7,91.80385907098783,14.022397994995117,12
4,NPS_AMB,8,103.88548640974817,7.027669429779053,12
4,NPS_AMB,9,92.55816969921314,4.195520877838135,12
4,NPS_AMB,10,64.76261762970624,1.181665062904358,12
4,NPS_AMB,11,82.48896083701429,8.923233032226562,12
4,NPS_AMB,12,83.98036073275168,9.318838715553284,12
4,NPS_UAMB,1,,0.0,13
4,NPS_UAMB,2,,12.78433609008789,13
4,NPS_UAMB,3,,9.151532173156738,13
4,NPS_UAMB,4,,4.818600177764893,13
4,NPS_UAMB,5,73.21356201117106,2.9367640018463135,13
4,NPS_UAMB,6,89.53902629968715,11.381550788879395,13
4,NPS_UAMB,7,102.43935907511839,11.875713348388672,13
4,NPS_UAMB,8,93.04876007170012,13.524404525756836,13
4,NPS_UAMB,9,104.99551133689322,7.021185398101807,13
4,NPS_UAMB,10,90.52398454105823,3.9041051864624023,13
4,NPS_UAMB,11,65.35034126070565,1.2398555278778076,13
4,NPS_UAMB,12,82.4126924534097,8.225414276123047,13
4,NPS_UAMB,13,84.0172860659483,10.126534342765808,13
4,NPZ_AMB,1,,0.0,13
4,NPZ_AMB,2,,3.3340907096862793,13
4,NPZ_AMB,3,,11.938185691833496,13
4,NPZ_AMB,4,,10.80675983428955,13
4,NPZ_AMB,5,86.39102792840607,2.4753243923187256,13
4,NPZ_AMB,6,100.87609328324393,11.761340141296387,13
4,NPZ_AMB,7,104.72560999664162,18.281099319458008,13
4,NPZ_AMB,8,89.4366871395433,15.646305084228516,13
4,NPZ_AMB,9,105.66397410777027,8.590330123901367,13
4,NPZ_AMB,10,96.48644018359532,5.58536434173584,13
4,NPZ_AMB,11,84.51078047831682,7.075643539428711,13
4,NPZ_AMB,12,104.09907739854289,5.096623420715332,13
4,NPZ_AMB,13,104.7431964409019,3.7159756422042847,13
4,NPZ_UAMB,1,,0.0,13
4,NPZ_UAMB,2,,3.3340907096862793,13
4,NPZ_UAMB,3,,11.938185691833496,13
4,NPZ_UAMB,4,,13.988033056259155,13
4,NPZ_UAMB,5,64.20147833910838,2.131981372833252,13
4,NPZ_UAMB,6,101.2949556783766,12.934809684753418,13
4,NPZ_UAMB,7,103.19652023050159,8.634232521057129,13
4,NPZ_UAMB,8,93.02061115954537,15.423357009887695,13
4,NPZ_UAMB,9,104.56372840439947,8.199986457824707,13
4,NPZ_UAMB,10,94.60855931109118,5.763946533203125,13
4,NPZ_UAMB,11,82.80308026494959,6.6803812980651855,13
4,NPZ_UAMB,12,103.38978166496017,4.983480930328369,13
4,NPZ_UAMB,13,103.27274308185311,3.2241965532302856,13
5,MVRR_AMB,1,,0.0,14
5,MVRR_AMB,2,,8.364288330078125,14
5,MVRR_AMB,3,,13.007646560668945,14
5,MVRR_AMB,4,,11.630586624145508,14
5,MVRR_AMB,5,80.50555437589512,3.992377996444702,14
5,MVRR_AMB,6,94.51482926701621,12.320890426635742,14
5,MVRR_AMB,7,95.73919405215689,14.959394454956055,14
5,MVRR_AMB,8,87.0520145222519,12.184160232543945,14
5,MVRR_AMB,9,86.15390097883335,6.162361145019531,14
5,MVRR_AMB,10,73.50184515206867,1.8068519830703735,14
5,MVRR_AMB,11,78.07054165397034,5.526862621307373,14
5,MVRR_AMB,12,70.33816441549004,3.812560558319092,14
5,MVRR_AMB,13,71.55107251632869,6.881424903869629,14
5,MVRR_AMB,14,82.11005950627533,8.8370521068573,14
5,MVRR_UAMB,1,,0.0,16
5,MVRR_UAMB,2,,8.364288330078125,16
5,MVRR_UAMB,3,,13.007650375366211,16
5,MVRR_UAMB,4,,5.868967056274414,16
5,MVRR_UAMB,5,76.29084816553838,3.7177789211273193,16
5,MVRR_UAMB,6,87.22585857530758,9.11264419555664,16
5,MVRR_UAMB,7,83.39613008081673,0.9677189588546753,16
5,MVRR_UAMB,8,87.96928086892181,10.85621452331543,16
5,MVRR_UAMB,9,102.32570381888277,9.150651931762695,16
5,MVRR_UAMB,10,92.4706599395355,12.436140060424805,16
5,MVRR_UAMB,11,86.74077660078713,10.342761039733887,16
5,MVRR_UAMB,12,75.35979594826084,0.05476344749331474,16
5,MVRR_UAMB,13,79.62123996902321,6.788989067077637,16
5,MVRR_UAMB,14,71.34460097087003,3.7360877990722656,16
5,MVRR_UAMB,15,72.594774401801,4.53593635559082,16
5,MVRR_UAMB,16,83.12034355376841,8.815709829330444,16
5,NPS_AMB,1,,0.0,11
5,NPS_AMB,2,,8.364266395568848,11
5,NPS_AMB,3,,13.007634162902832,11
5,NPS_AMB,4,,14.324612617492676,11
5,NPS_AMB,5,80.45407265293267,3.6757845878601074,11
5,NPS_AMB,6,94.29325164194407,11.546874046325684,11
5,NPS_AMB,7,90.78691177134017,10.903714179992676,11
5,NPS_AMB,8,84.734785202004,13.33447265625,11
5,NPS_AMB,9,82.66749777494823,5.468691825866699,11
5,NPS_AMB,10,71.82059108085825,1.9363514184951782,11
5,NPS_AMB,11,73.66220488321292,7.062087774276733,11
5,NPS_UAMB,1,,0.0,12
5,NPS_UAMB,2,,8.364266395568848,12
5,NPS_UAMB,3,,13.007634162902832,12
5,NPS_UAMB,4,,14.324612617492676,12
5,NPS_UAMB,5,75.74105069938376,1.978764295578003,12
5,NPS_UAMB,6,69.23192580529681,2.707106113433838,12
5,NPS_UAMB,7,85.48905414814,10.431708335876465,12
5,NPS_UAMB,8,88.70266249380977,9.663832664489746,12
5,NPS_UAMB,9,85.70286284939802,14.022101402282715,12
5,NPS_UAMB,10,81.79775865336603,5.853023052215576,12
5,NPS_UAMB,11,70.67037361015446,1.5128268003463745,12
5,NPS_UAMB,12,73.60779076034882,7.320041060447693,12
5,NPZ_AMB,1,,0.0,12
5,NPZ_AMB,2,,3.3445451259613037,12
5,NPZ_AMB,3,,8.876152992248535,12
5,NPZ_AMB,4,,12.385438919067383,12
5,NPZ_AMB,5,97.26487567144814,5.957302093505859,12
5,NPZ_AMB,6,86.71598092166612,2.5198585987091064,12
5,NPZ_AMB,7,97.19571848662659,9.467947959899902,12
5,NPZ_AMB,8,96.8143355686913,16.49932289123535,12
5,NPZ_AMB,9,85.2304208463117,11.003626823425293,12
5,NPZ_AMB,10,85.3473599275705,7.508752346038818,12
5,NPZ_AMB,11,75.12723378337998,1.3968769311904907,12
5,NPZ_AMB,12,74.81306778185055,7.990176439285278,12
5,NPZ_UAMB,1,,0.0,12
5,NPZ_UAMB,2,,3.3445513248443604,12
5,NPZ_UAMB,3,,8.876127243041992,12
5,NPZ_UAMB,4,,12.385443687438965,12
5,NPZ_UAMB,5,89.3173676050337,7.433012247085571,12
5,NPZ_UAMB,6,66.64403329250538,3.1254677772521973,12
5,NPZ_UAMB,7,92.74460335074487,12.171753883361816,12
5,NPZ_UAMB,8,85.86959674037615,9.030064582824707,12
5,NPZ_UAMB,9,86.0028251646387,11.938347816467285,12
5,NPZ_UAMB,10,82.02676345297212,6.26066255569458,12
5,NPZ_UAMB,11,72.44109958461559,1.5915709733963013,12
5,NPZ_UAMB,12,73.33060878290927,6.0089088678359985,12
6,MVRR_AMB,1,,0.0,11
6,MVRR_AMB,2,,13.392450332641602,11
6,MVRR_AMB,3,,13.442882537841797,11
6,MVRR_AMB,4,,1.2832703590393066,11
6,MVRR_AMB,5,89.83559933664182,7.689969062805176,11
6,MVRR_AMB,6,96.37793950159744,19.714109420776367,11
6,MVRR_AMB,7,83.84700057796572,6.478026390075684,11
6,MVRR_AMB,8,99.26814031238524,4.3274359703063965,11
6,MVRR_AMB,9,91.11536318611,3.7322838306427,11
