conv_id,speaker,word_pos,pause_ms,pause_mark,pause_len,iu_len,iu_len_prev,on
59,59_FRED,3690,0.0,0,0,5,1,1020.316
59,59_FRED,3695,0.0,0,0,12,5,1022.042
59,59_CAM,3708,1783.9999999998781,0,0,1,1,1025.139
59,59_CAM,3709,0.0,0,0,1,1,1025.844
59,59_FRED,3715,0.0,1,3,4,1,1028.154
59,59_FRED,3719,0.0,1,3,3,4,1031.16
59,59_FRED,3722,0.0,0,0,5,3,1032.906
59,59_FRED,3727,0.0,1,3,4,5,1034.926
59,59_CAM,3736,0.0,1,2,3,0,1040.828
59,59_FRED,3756,0.0,1,3,1,8,1047.219
59,59_FRED,3765,0.0,1,2,4,7,1050.664
59,59_FRED,3769,0.0,1,2,6,4,1051.985
59,59_FRED,3780,0.0,0,0,3,3,1055.25
59,59_FRED,3786,0.0,1,2,7,0,1057.801
59,59_FRED,3804,0.0,1,3,2,10,1060.838
59,59_FRED,3819,0.0,0,0,6,3,1063.321
59,59_FRED,3825,0.0,0,0,4,6,1064.471
59,59_WESS,3830,0.0,0,0,1,1,1064.739
59,59_WESS,3840,0.0,0,0,3,2,1066.89
59,59_WESS,3866,0.0,0,0,1,3,1071.506
59,59_WESS,3875,0.0,1,2,2,1,1072.636
59,59_JO,3924,0.0,1,2,6,0,1082.384
59,59_JO,3947,0.0,0,0,2,2,1088.313
59,59_JO,3949,0.0,0,0,3,2,1088.848
59,59_WESS,3967,0.0,0,0,4,6,1091.108
59,59_WESS,3994,0.0,0,0,2,3,1095.108
59,59_JO,4015,493.9999999999145,0,0,5,1,1098.731
59,59_WESS,4039,0.0,0,0,5,6,1104.634
59,59_WESS,4044,0.0,0,0,5,5,1105.797
59,59_WESS,4049,0.0,1,2,2,5,1107.115
59,59_WESS,4051,0.0,1,2,4,2,1107.688
59,59_FRED,4061,0.0,0,0,3,2,1110.212
59,59_FRED,4064,0.0,1,2,6,3,1110.993
59,59_FRED,4070,0.0,1,3,10,6,1112.441
59,59_JO,4083,0.0,0,0,7,1,1117.012
59,59_WESS,4092,0.0,1,2,1,2,1117.893
59,59_FRED,4096,0.0,0,0,3,3,1120.475
59,59_JO,4099,0.0,0,0,1,0,1121.769
59,59_JO,4100,0.0,0,0,3,1,1122.404
59,59_JO,4103,0.0,0,0,7,3,1123.032
59,59_FRED,4149,0.0,0,0,2,2,1132.068
59,59_FRED,4151,0.0,1,3,3,2,1132.691
59,59_FRED,4154,0.0,0,0,3,3,1133.692
59,59_FRED,4157,0.0,0,0,3,3,1134.123
59,59_WESS,4174,0.0,0,0,1,2,1137.883
59,59_WESS,4175,0.0,1,2,1,1,1138.257
59,59_FRED,4178,0.0,0,0,5,2,1138.844
59,59_FRED,4183,0.0,0,0,3,5,1139.85
59,59_WESS,4218,0.0,0,0,6,9,1145.781
59,59_FRED,4233,0.0,0,0,2,1,1148.644
59,59_FRED,4235,0.0,0,0,4,2,1149.115
59,59_FRED,4239,0.0,0,0,7,4,1150.548
59,59_FRED,4246,0.0,0,0,5,7,1152.126
59,59_WESS,4262,0.0,0,0,1,1,1155.374
59,59_WESS,4263,0.0,1,2,2,1,1155.81
59,59_WESS,4282,0.0,1,3,2,3,1162.289
59,59_WESS,4284,0.0,1,2,2,2,1164.116
59,59_WESS,4286,0.0,1,3,4,2,1165.287
59,59_WESS,4292,0.0,0,0,4,1,1167.934
59,59_WESS,4303,0.0,0,0,7,1,1171.728
59,59_WESS,4315,0.0,1,3,5,4,1174.525
59,59_JO,4325,0.0,0,0,5,5,1178.548
59,59_JO,4330,0.0,0,0,7,5,1179.499
59,59_JO,4344,0.0,0,0,2,3,1182.473
59,59_WESS,4368,0.0,1,2,6,4,1189.453
59,59_WESS,4374,0.0,0,0,9,6,1190.687
59,59_WESS,4383,0.0,1,3,4,9,1192.582
59,59_WESS,4387,0.0,0,0,7,4,1194.665
59,59_WESS,4394,0.0,1,3,2,7,1196.554
59,59_WESS,4404,0.0,0,0,7,7,1198.952
59,59_JO,4453,0.0,0,0,4,1,1207.4
59,59_WESS,4478,0.0,0,0,8,3,1211.629
59,59_WESS,4486,0.0,0,0,1,8,1212.966
59,59_WESS,4487,0.0,0,0,8,1,1213.288
59,59_WESS,4495,0.0,0,0,1,8,1215.1
59,59_FRED,4498,0.0,0,0,2,2,1215.5
59,59_FRED,4500,0.0,0,0,5,2,1215.74
59,59_WESS,4514,645.9999999999582,0,0,2,3,1220.75
59,59_WESS,4518,0.0,0,0,4,1,1222.48
59,59_WESS,4536,348.0000000001837,1,3,3,4,1225.843
59,59_JO,4542,589.0000000001692,1,2,8,3,1227.256
59,59_JO,4550,0.0,1,3,6,8,1229.21
59,59_WESS,4557,0.0,0,0,5,1,1231.36
59,59_WESS,4562,0.0,0,0,5,5,1232.955
59,59_WESS,4567,0.0,1,2,7,5,1234.767
59,59_CAM,4579,0.0,0,0,1,5,1239.146
59,59_CAM,4580,0.0,0,0,2,1,1239.346
59,59_JO,4599,0.0,1,2,6,8,1244.902
59,59_WESS,4612,0.0,1,3,1,2,1247.301
59,59_JO,4634,0.0,0,0,1,2,1251.112
59,59_JO,4635,0.0,0,0,2,1,1251.376
59,59_JO,4637,0.0,0,0,4,2,1251.814
59,59_JO,4641,0.0,0,0,4,4,1252.131
59,59_CAM,4653,0.0,0,0,8,3,1254.552
59,59_FRED,4695,0.0,1,2,5,2,1262.596
59,59_FRED,4700,0.0,1,3,5,5,1264.199
59,59_FRED,4705,0.0,1,3,9,5,1266.257
59,59_JO,4723,0.0,1,2,2,2,1273.988
59,59_JO,4725,0.0,0,0,4,2,1275.123
59,59_JO,4729,0.0,0,0,6,4,1276.131
59,59_JO,4735,0.0,0,0,3,6,1277.391
59,59_JO,4747,0.0,1,2,2,7,1280.659
59,59_CAM,4756,0.0,0,0,2,7,1283.256
59,59_JO,4759,0.0,0,0,7,1,1284.44
59,59_FRED,4777,0.0,0,0,5,2,1287.996
59,59_JO,4793,0.0,0,0,4,1,1291.318
59,59_JO,4800,0.0,1,2,7,2,1292.727
59,59_JO,4814,0.0,1,3,2,4,1295.635
59,59_JO,4828,0.0,0,0,6,3,1301.183
59,59_JO,4834,0.0,1,2,8,6,1302.328
59,59_JO,4842,0.0,0,0,9,8,1303.793
59,59_JO,4860,0.0,0,0,7,1,1306.884
59,59_JO,4867,0.0,1,3,3,7,1308.665
59,59_WESS,4872,0.0,1,2,5,2,1310.866
59,59_JO,4878,255.00000000010914,0,0,1,1,1312.086
59,59_CAM,4886,0.0,0,0,3,1,1313.937
59,59_JO,4889,0.0,1,3,4,0,1315.136
59,59_JO,4893,0.0,0,0,6,4,1317.289
59,59_JO,4899,0.0,1,3,3,6,1318.408
59,59_JO,4902,0.0,0,0,6,3,1319.206
59,59_JO,4908,0.0,0,0,4,6,1320.754
59,59_JO,4912,0.0,0,0,3,4,1321.702
59,59_JO,4924,0.0,0,0,2,3,1325.307
59,59_JO,4926,0.0,0,0,7,2,1325.72
59,59_JO,4933,0.0,0,0,2,7,1327.24
59,59_JO,4942,0.0,0,0,1,1,1328.305
59,59_JO,4943,0.0,1,3,4,1,1328.669
59,59_JO,4947,0.0,0,0,7,4,1329.937
59,59_JO,4955,0.0,1,3,3,1,1334.291
59,59_JO,4958,0.0,1,3,8,3,1335.226
59,59_JO,4966,0.0,0,0,4,8,1337.224
59,59_JO,4972,0.0,0,0,6,1,1339.336
59,59_JO,4985,0.0,1,3,4,6,1342.681
59,59_JO,4989,0.0,0,0,9,4,1344.032
