label,n,pos,mean,wilcoxon_p,t_p,sign_p,n_sig
"FULL      (length, freq, zone, prevRT, surprisal)",171,125,0.0038831319374624464,5.06400083411579e-12,4.2411910665247234e-12,1.2492231225254296e-09,39
"ZUCO-style(length, freq only)",171,136,0.005770154415335288,3.285222350731529e-16,7.361454674177571e-17,2.933903289448426e-15,44
"PUNCT-FREE (FULL controls, punctuation-final removed)",171,128,0.004415389924073117,3.451691058189125e-13,4.975740295708224e-13,5.3002595578101185e-11,43
