item,construction,tee_unamb,tee_amb,surp_unamb,surp_amb,dTEE,dSurp
1,MVRR,107.82628792480715,105.9911488098694,15.687330081251952,22.45379073129657,-1.8351391149377463,6.766460650044619
1,NPS,106.17387681383303,107.4330729771026,17.065722872775122,22.747977374556456,1.2591961632695643,5.682254501781333
1,NPZ,104.72612849496612,107.54861698717632,18.66526884297338,24.493675577319138,2.822488492210198,5.828406734345759
2,MVRR,100.37002839878035,101.40608990124878,10.989286886938643,18.434018218900835,1.0360615024684279,7.444731331962192
2,NPS,93.3792174905799,95.51001223956457,10.580639598154127,11.935114418456504,2.1307947489846697,1.3544748203023769
2,NPZ,92.82719288121338,100.56243730839229,7.882008916601141,16.279401682695877,7.7352444271789125,8.397392766094736
3,MVRR,99.30946757476185,94.70960421847836,12.373635781626493,20.572248248131583,-4.5998633562834925,8.19861246650509
3,NPS,94.21627990423084,97.13518071856947,11.826023759222414,13.49991301387444,2.9189008143386275,1.6738892546520265
3,NPZ,93.27584525438049,96.5893090416761,8.657477313480339,19.67598198900876,3.3134637872956176,11.018504675528423
4,MVRR,101.81081633914228,102.0201037353963,12.381117714869628,16.901253799963207,0.2092873962540267,4.520136085093579
4,NPS,102.43935907511839,106.66718581502076,11.875712986709697,17.21541657208611,4.227826739902369,5.339703585376412
4,NPZ,103.19652023050159,104.72560999664161,8.63423213838972,18.281099500920867,1.529089766140018,9.646867362531147
5,MVRR,102.32570381888276,95.73919405215689,9.150652011372115,14.95939493734882,-6.586509766725868,5.808742925976706
5,NPS,88.70266249380977,90.78691177134017,9.66383310707346,10.903713823314137,2.084249277530404,1.2398807162406769
5,NPZ,85.86959674037615,96.81433556869129,9.030064655893147,16.499323465590788,10.944738828315138,7.4692588096976404
6,MVRR,96.89638982693106,96.37793950159742,14.341763962264269,19.714109854774442,-0.5184503253336317,5.3723458925101735
6,NPS,100.7898958599486,102.57944435587235,16.548106000542724,16.585905035479954,1.7895484959237535,0.03779903493722969
6,NPZ,98.29898539074969,102.88618693889634,16.520356255860708,23.297966885126062,4.587201548146652,6.777610629265354
7,MVRR,98.81036832041242,95.63212131130318,10.411620552330985,17.67128754507514,-3.178247009109242,7.259666992744153
7,NPS,90.54301670120161,93.13252347401318,8.186901135911935,9.54943437530314,2.589506772811575,1.3625332393912046
7,NPZ,93.22951024365571,96.56076554618792,8.00663304886116,15.219207064215455,3.331255302532213,7.212574015354296
8,MVRR,105.44849322316627,108.07962028378967,10.362935703524743,17.201388291220532,2.631127060623399,6.838452587695789
8,NPS,102.87530029369401,102.30175067703821,9.46846907086055,14.191120918720516,-0.5735496166557965,4.722651847859966
8,NPZ,104.28756991180904,103.97732101698064,11.526051619587504,16.927304356054698,-0.3102488948284048,5.401252736467194
9,MVRR,105.56993781026006,102.579334053455,13.54281649388928,19.054198664801778,-2.990603756805058,5.511382170912498
9,NPS,96.4921612682477,98.48951232320368,13.456759127119945,16.36706467949367,1.9973510549559848,2.9103055523737247
9,NPZ,94.73700265301174,105.63257496503542,10.190708149367104,19.344951158489234,10.895572312023674,9.15424300912213
10,MVRR,98.84726435721653,101.71339497815494,12.113653047970203,18.320436748687413,2.8661306209384065,6.20678370071721
10,NPS,101.93189604090982,101.60726266256468,11.86250196740102,15.327476334309026,-0.3246333783451405,3.464974366908006
10,NPZ,98.36573616230407,100.01368473449011,9.262817720403632,18.147997311903914,1.6479485721860385,8.885179591500282
11,MVRR,112.80268633674646,109.98357046795527,15.885928767162289,18.036688764404296,-2.8191158687911866,2.150759997242007
11,NPS,102.78214171308987,109.10406874686224,14.897016141950276,16.14205221013322,6.3219270337723685,1.2450360681829427
11,NPZ,102.11905894824703,103.47113538354688,13.994222797261912,16.992404604920495,1.3520764352998498,2.9981818076585824
12,MVRR,101.58353783382793,99.86661026822236,13.404104918731788,16.838083884370693,-1.7169275656055731,3.4339789656389055
12,NPS,100.49770492675539,102.80980552411764,12.018830069451692,14.465042502263936,2.312100597362246,2.446212432812244
12,NPZ,97.59392268896853,101.09906889470055,10.219317807303435,19.977931241197993,3.505146205732018,9.758613433894558
13,MVRR,94.91974619788205,91.39456879750328,10.163153089045865,15.782250745916153,-3.525177400378766,5.619097656870288
13,NPS,83.88000374960518,90.60340806169977,7.887467645939527,12.23232107706554,6.723404312094587,4.344853431126014
13,NPZ,83.98283597154443,85.73226211322815,8.249489062213929,13.931522050340952,1.7494261416837134,5.682032988127023
14,MVRR,102.61357239511115,105.20732768997512,13.890714006944226,20.954099264050466,2.5937552948639677,7.0633852571062405
14,NPS,94.25763814893199,99.97770341456167,12.130665571793552,14.051742050877676,5.720065265629685,1.9210764790841246
14,NPZ,93.86122529253704,96.1868957454419,16.20496071209642,17.8201378414663,2.325670452904859,1.6151771293698793
15,MVRR,90.14326748925716,86.99820876851932,8.454824652523863,12.958704249527285,-3.145058720737836,4.503879597003422
15,NPS,81.96545550094926,81.13203406190695,6.978610192981738,9.00844024530426,-0.8334214390423114,2.029830052322523
15,NPZ,81.80261327725303,85.35526938182296,9.557623501206622,13.354489987749677,3.552656104569934,3.7968664865430544
16,MVRR,108.14168739014029,105.751975437013,11.015029250119788,15.489195060568342,-2.3897119531272892,4.474165810448554
16,NPS,104.01017166438983,107.08199033184883,9.184169366233466,16.327441252596085,3.0718186674589987,7.143271886362619
16,NPZ,103.70717542772447,106.48612125001046,8.480576646733457,16.210136701956788,2.7789458222859906,7.729560055223331
17,MVRR,101.49194552547573,96.20848150992612,13.34330010855394,21.72568085302016,-5.283464015549612,8.382380744466222
17,NPS,87.20739595670736,89.25214031342958,12.267636682524314,18.52013337184086,2.0447443567222194,6.252496689316546
17,NPZ,87.08657536287042,94.61561987504321,11.675563705219181,18.663295858002684,7.5290445121727885,6.987732152783503
18,MVRR,97.49051716233454,94.49582819537201,9.307324078724513,17.078887112802764,-2.994688966962528,7.771563034078252
18,NPS,95.22879424419241,97.27380527251714,10.516348355677987,11.0644054691825,2.0450110283247227,0.5480571135045125
18,NPZ,95.17485458034862,99.70570014140868,10.390766624017965,13.095488243133907,4.530845561060062,2.7047216191159418
19,MVRR,105.01513157729931,103.23470554000457,10.134893587786692,16.287644467186432,-1.7804260372947454,6.15275087939974
