article_id,paragraph_id,difficulty_level,IA_ID,tee,slope_norm,curv_prev,runup_disp,last_step,resid_par,resid_perp
0,1,Adv,1,,,,,,,
0,1,Adv,2,,,,,,,
0,1,Adv,3,,,,,,,
0,1,Adv,4,,,,,,,
0,1,Adv,5,84.35234221010171,36.792381149641365,2.0052249431610107,73.58476257324219,61.96470642089844,-59.98691649795048,59.30335138420107
0,1,Adv,6,86.15732190054295,37.70446257602893,1.8384193181991577,75.40892791748047,62.37919235229492,-61.141539353545944,60.70252286810302
0,1,Adv,7,83.77504030483246,34.27175669839627,2.0396687984466553,68.54351806640625,68.20808410644531,-55.71890963598547,62.55925580642076
0,1,Adv,8,71.00748327658476,39.17415500559904,1.906619906425476,78.34831237792969,67.10246276855469,-58.46558196617051,40.296878373286745
0,1,Adv,9,93.58766847298305,31.48257629623883,2.0082814693450928,62.965152740478516,44.862548828125,-62.95302259936109,69.25004430188704
0,1,Adv,10,91.5306164932273,40.72647589496348,1.6612764596939087,81.45294952392578,72.15919494628906,-61.73337381270452,67.5784308291569
0,1,Adv,11,102.09685977667375,40.31388301620981,1.969528079032898,80.62776184082031,73.6093521118164,-80.67082568888785,62.57784479295254
0,1,Adv,12,89.60013781476493,38.517104898862726,2.0615477561950684,77.03421020507812,76.1571044921875,-71.77079453331487,53.638957376906276
0,1,Adv,13,84.95003391384843,32.12471641351273,2.2314229011535645,64.24942779541016,69.3552474975586,-48.025439426545205,70.07185904377903
0,1,Adv,14,97.41313918806584,42.27117096824226,1.8785737752914429,84.54234313964844,73.72394561767578,-72.47808804308323,65.08645358361879
0,1,Adv,15,103.11349397637869,38.39052494161919,2.0558078289031982,76.78105163574219,74.88697052001953,-89.85357859364032,50.583861595702516
0,1,Adv,16,81.83461546675674,37.10813333982843,2.0835111141204834,74.21627044677734,72.08349609375,-55.0764984519495,60.52671812401813
0,1,Adv,17,74.71391717893316,41.128108518226526,1.8318567276000977,82.25621795654297,62.37961196899414,-63.74889775547377,38.96469498382652
0,1,Adv,18,66.83153131623126,26.027665401682974,2.193763494491577,52.055328369140625,48.359947204589844,-52.388397775447686,41.4958956596176
0,1,Adv,19,71.18080234325582,30.842997298079563,1.679888129234314,61.685997009277344,43.92009735107422,-38.55822062244796,59.83285255326107
0,1,Adv,20,91.31579756814588,35.00790323919414,1.6850476264953613,70.01580810546875,59.76382827758789,-65.18306685181257,63.95109601327198
0,1,Adv,21,96.52378797205334,35.100401096393796,2.047175168991089,70.20079803466797,73.31309509277344,-78.4399180448792,56.24963023510951
0,1,Adv,22,73.05316032023977,35.9581355090997,2.1204240322113037,71.91627502441406,73.84602355957031,-53.46453393186229,49.78260584002609
0,1,Adv,23,87.49148480806039,38.14055568787958,1.877663254737854,76.28111267089844,51.68669509887695,-65.775513562729,57.69178216590572
0,1,Adv,24,90.1666216986683,32.41687438293287,1.9709558486938477,64.83374786376953,64.15048217773438,-57.516321939240015,69.43984719980635
0,1,Adv,25,108.21336386861024,38.98858843658343,1.9793683290481567,77.9771728515625,76.62147521972656,-83.22708118466414,69.16202048264326
0,1,Adv,26,93.82843754321199,40.26890881851242,2.109153985977173,80.5378189086914,85.74951934814453,-71.10258123864787,61.22253370289337
0,1,Adv,27,96.8312907351961,39.96977478622296,2.097487449645996,79.9395523071289,73.02619171142578,-81.98297581280798,51.52757070074832
0,1,Adv,28,69.23789775652834,36.874702384338974,2.0225882530212402,73.74940490722656,65.3867416381836,-52.81529601565772,44.770872143860714
0,1,Adv,29,98.26143356166112,36.44029181173322,1.7083303928375244,72.88058471679688,42.37890625,-65.82110948725972,72.95814465471908
0,1,Adv,30,86.47421080331523,39.33719739126378,1.8089125156402588,78.67439270019531,77.0303955078125,-62.450636872506394,59.81393724103559
0,1,Adv,31,115.59082786738082,38.34784051774037,2.0296826362609863,76.6956787109375,67.47868347167969,-100.72254168149078,56.71163094363283
0,1,Adv,32,102.62839258993043,42.32180938311886,1.932755470275879,84.64362335205078,80.30501556396484,-74.7289659205918,70.34322012839554
0,1,Adv,33,102.04653001608413,41.710203948529085,2.056142568588257,83.42041015625,81.20795440673828,-86.71119997726119,53.80206396437763
0,1,Adv,34,71.77917951806955,25.481553476913156,2.505711317062378,50.96310806274414,81.80592346191406,-43.560219455936235,57.05048547767085
0,1,Adv,35,102.12861525989989,42.11009354487797,1.9089388847351074,84.22018432617188,60.861778259277344,-82.73567429477579,59.87538938406528
0,1,Adv,36,101.9294164444503,37.13119393133581,1.9431298971176147,74.26239013671875,70.10929870605469,-84.869012504045,56.45225109147048
0,1,Adv,37,95.3026885262048,36.36778556161519,2.094886302947998,72.7355728149414,75.16026306152344,-68.33029179233688,66.43473236114454
0,1,Adv,38,95.83290324210002,39.29514687522593,2.0603888034820557,78.59029388427734,77.49579620361328,-73.46860480493564,61.53299482250066
0,1,Adv,39,90.29877578504629,36.60655600476005,2.1424665451049805,73.2131118774414,75.28272247314453,-71.12085212173051,55.638954894543154
0,1,Adv,40,91.19429508221343,38.985873350003345,1.9718822240829468,77.97174835205078,65.11260223388672,-61.04796790703135,67.7461812205226
0,1,Adv,41,89.32634266774443,39.846676166412735,1.9095215797424316,79.69335174560547,72.42465209960938,-74.04638410906989,49.9632714578157
0,1,Adv,42,69.07525130420795,31.535447509143875,2.1906869411468506,63.070892333984375,64.5002212524414,-47.87351450586673,49.79474823308228
0,1,Adv,43,100.12614685879647,37.618551702812226,1.7039846181869507,75.23710632324219,48.23527526855469,-69.50063673528642,72.07570171825618
0,1,Adv,44,97.52209325547298,39.37975654732127,1.8621140718460083,78.75951385498047,77.63748168945312,-80.82716789036468,54.566726159372784
0,1,Adv,45,86.44889579886816,33.749945038161535,2.217073678970337,67.49989318847656,73.4878921508789,-61.94349006505092,60.302699967783404
0,1,Adv,46,86.9004387244244,38.556501419775906,1.9964773654937744,77.11299896240234,68.64546203613281,-71.46040721805201,49.44791654587299
0,1,Adv,47,85.84064608140709,33.424078571364404,2.0566861629486084,66.84815216064453,60.05953598022461,-68.65159054652858,51.53227760447988
0,1,Adv,48,68.8883357785256,33.23539666144646,1.9904602766036987,66.47079467773438,62.02238845825195,-46.81524878533176,50.53647482267026
0,1,Adv,49,80.44763434370365,34.704802003924186,1.8438799381256104,69.40959930419922,52.09319305419922,-59.89953607818494,53.70165220099351
0,1,Adv,50,81.47299720654522,30.422036503657225,2.0082790851593018,60.84407424926758,60.4804801940918,-57.92909145863692,57.28935011496119
0,1,Adv,51,87.73881343070644,33.698063716367045,2.0179660320281982,67.39612579345703,65.75460052490234,-62.34414946665816,61.735779006239994
0,1,Adv,52,78.67689332005527,37.45713589732121,1.9669679403305054,74.91427612304688,69.33216094970703,-64.44687126669058,45.12930673553466
0,1,Adv,53,87.01723027602921,31.278298143833762,2.1099460124969482,62.55659484863281,54.91979217529297,-60.33150846718991,62.70651840905289
0,1,Adv,54,83.95095161747919,37.611886432028165,1.8361097574234009,75.2237777709961,67.78422546386719,-66.63547736645307,51.063445179749216
0,1,Adv,55,79.21122737080933,28.46685566562465,2.256498098373413,56.933712005615234,65.03655242919922,-49.42699163082588,61.89823131492791
0,1,Adv,56,107.19782902441445,38.2988042653366,1.8984609842300415,76.59761047363281,66.48902130126953,-84.46254624992879,66.01100535915378
0,1,Adv,57,95.36181818018322,36.78716897619346,2.1397547721862793,73.5743408203125,83.5240707397461,-86.43501522251424,40.28479254152931
0,1,Adv,58,86.2961496755483,34.38328591432389,2.216733932495117,68.76657104492188,67.02095031738281,-55.89438020119161,65.74833618236494
0,1,Adv,59,88.70171316655814,42.2760116956775,1.7824575901031494,84.5520248413086,67.51678466796875,-71.31067530210247,52.75207585148161
0,1,Adv,60,85.49646279756904,31.664819792938395,2.133761405944824,63.32963943481445,63.42933654785156,-54.02366102805294,66.26529408387273
0,1,Adv,61,95.70646437616779,41.66138960298978,1.7736854553222656,83.3227767944336,68.30360412597656,-74.66224038514056,59.87718416941597
0,1,Adv,62,85.98216619887617,34.760904205032496,2.0986413955688477,69.52180480957031,71.16461944580078,-58.68390347536676,62.84212263398653
0,1,Adv,63,90.24966305881561,40.218600218152474,1.9084141254425049,80.43720245361328,67.86035919189453,-70.61718404122371,56.19799818781526
0,1,Adv,64,89.59565164765026,34.79044299605637,2.0439302921295166,69.58088684082031,65.45757293701172,-62.31352983220587,64.37705176550014
0,1,Adv,65,81.1031324870713,39.982630768119904,1.8742640018463135,79.96526336669922,69.48442840576172,-63.26135886649091,50.75153764744961
0,1,Adv,66,64.19860952806289,32.702079149983895,2.0849127769470215,65.40415954589844,59.01378631591797,-47.919571826804315,42.72207978636375
0,1,Adv,67,87.98695966340614,31.977111334498684,1.8222863674163818,63.9542236328125,43.37649917602539,-62.127926553771815,62.304300115955044
0,1,Adv,68,87.97462527512627,34.36020040719192,1.882795810699463,68.72039794921875,68.2536392211914,-69.3392188970904,54.144320247282344
0,1,Adv,69,74.93949073281583,31.848401582865954,2.175936698913574,63.69680404663086,68.93334197998047,-57.20616028041968,48.40849612686522
0,1,Adv,70,78.05850710632646,34.41224790369682,1.9855669736862183,68.82450103759766,55.286312103271484,-50.50010272548419,59.5220140484507
0,1,Adv,71,70.83484846066305,36.23815539366048,1.8009697198867798,72.47631072998047,61.145179748535156,-60.13989532152861,37.42684527395652
0,1,Adv,72,77.27654023257003,25.50643797156241,2.1944961547851562,51.012874603271484,47.496238708496094,-47.311269680050344,61.10079730721659
0,1,Adv,73,81.55149184910387,36.74868112711848,1.7007662057876587,73.49736022949219,62.58143997192383,-65.61732507408107,48.42532883664114
