item,Type,WordPosition,tee,surp,curv3,sent_len
1,MVRR_AMB,1,,0.0,,12
1,MVRR_AMB,2,,14.173530578613281,,12
1,MVRR_AMB,3,,12.483691215515137,,12
1,MVRR_AMB,4,,2.5708541870117188,,12
1,MVRR_AMB,5,88.8564084857051,10.285764694213867,,12
1,MVRR_AMB,6,105.99113094106804,22.45368194580078,2.011704440481484,12
1,MVRR_AMB,7,108.72775035371257,11.849284172058105,2.0113727943472757,12
1,MVRR_AMB,8,107.19747287807948,0.8801548480987549,2.054580005751868,12
1,MVRR_AMB,9,109.4821501835543,12.246017456054688,2.0389319333468037,12
1,MVRR_AMB,10,83.59243910761197,1.2862026691436768,2.0406242008221978,12
1,MVRR_AMB,11,83.19118311133762,9.89268970489502,1.9574366025857142,12
1,MVRR_AMB,12,92.04622527732961,5.822457671165466,1.9920788827692666,12
1,MVRR_UAMB,1,,0.0,,14
1,MVRR_UAMB,2,,14.173530578613281,,14
1,MVRR_UAMB,3,,7.003701686859131,,14
1,MVRR_UAMB,4,,2.1266794204711914,,14
1,MVRR_UAMB,5,85.24034673009659,10.151962280273438,,14
1,MVRR_UAMB,6,83.60760804113292,7.287387847900391,1.9768740365318065,14
1,MVRR_UAMB,7,82.45576829578725,10.538077354431152,1.9758650741099608,14
1,MVRR_UAMB,8,107.82626452196007,15.687271118164062,2.048222828187401,14
1,MVRR_UAMB,9,111.82596217158779,10.51369571685791,2.035132287039239,14
1,MVRR_UAMB,10,107.35782273289952,1.817093014717102,2.067892039274298,14
1,MVRR_UAMB,11,111.09561596415621,11.285663604736328,2.058961388296316,14
1,MVRR_UAMB,12,83.63037376509632,1.2904026508331299,2.0411903838631584,14
1,MVRR_UAMB,13,83.76797783504074,9.595696449279785,1.9607431334723682,14
1,MVRR_UAMB,14,92.58449326342875,6.2432379722595215,1.9901620697064901,14
1,NPS_AMB,1,,0.0,,12
1,NPS_AMB,2,,14.173530578613281,,12
1,NPS_AMB,3,,11.920842170715332,,12
1,NPS_AMB,4,,4.60115385055542,,12
1,NPS_AMB,5,93.50912821728862,12.148972511291504,,12
1,NPS_AMB,6,107.43306247767411,22.747907638549805,1.9383141111598075,12
1,NPS_AMB,7,110.88572506198489,8.313689231872559,1.9954256207754095,12
1,NPS_AMB,8,105.62842666874404,0.5980643630027771,2.044580600653659,12
1,NPS_AMB,9,102.57047016977494,10.455733299255371,2.044602377446567,12
1,NPS_AMB,10,72.62379561981426,1.9839266538619995,1.9715723478604275,12
1,NPS_AMB,11,100.4690299355334,8.341886520385742,1.9180193056981434,12
1,NPS_AMB,12,97.81517741502361,3.305692672729492,1.9633263134262038,12
1,NPS_UAMB,1,,0.0,,13
1,NPS_UAMB,2,,14.173530578613281,,13
1,NPS_UAMB,3,,11.920842170715332,,13
1,NPS_UAMB,4,,7.421426773071289,,13
1,NPS_UAMB,5,73.26993117850033,3.094785451889038,,13
1,NPS_UAMB,6,85.29151183198096,12.302801132202148,1.8760916000878032,13
1,NPS_UAMB,7,106.17389316893217,17.06568145751953,1.9247896664404323,13
1,NPS_UAMB,8,111.8676104281434,7.359760284423828,1.9825964298732348,13
1,NPS_UAMB,9,106.08879488909217,0.5900790691375732,2.0543664980060634,13
1,NPS_UAMB,10,102.368137284937,10.515533447265625,2.053062961574343,13
1,NPS_UAMB,11,72.305826520021,1.9452729225158691,1.9705249230604072,13
1,NPS_UAMB,12,100.88176225399081,8.699419975280762,1.9148706407086105,13
1,NPS_UAMB,13,98.2078666155859,3.1816632747650146,1.9607390915929919,13
1,NPZ_AMB,1,,0.0,,13
1,NPZ_AMB,2,,3.6404335498809814,,13
1,NPZ_AMB,3,,12.351469039916992,,13
1,NPZ_AMB,4,,11.632955551147461,,13
1,NPZ_AMB,5,82.69163943934129,3.022700309753418,,13
1,NPZ_AMB,6,97.87587282493804,10.579914093017578,2.001013150775787,13
1,NPZ_AMB,7,107.5486097848994,24.493648529052734,1.9186467555017197,13
1,NPZ_AMB,8,112.40226910044622,8.488780975341797,1.9940118867141547,13
1,NPZ_AMB,9,106.60639262348904,0.5650514960289001,2.031648840723022,13
1,NPZ_AMB,10,103.6448133607136,11.568751335144043,2.057858732290014,13
1,NPZ_AMB,11,71.7539256438554,1.316401720046997,1.973721194299717,13
1,NPZ_AMB,12,103.28248704802569,12.541548728942871,1.9281356539500851,13
1,NPZ_AMB,13,103.13218147859726,15.475887417793274,2.039808239871744,13
1,NPZ_UAMB,1,,0.0,,13
1,NPZ_UAMB,2,,3.6404335498809814,,13
1,NPZ_UAMB,3,,12.351469039916992,,13
1,NPZ_UAMB,4,,19.22293186187744,,13
1,NPZ_UAMB,5,67.74517362101295,2.427816152572632,2.0433586146172145,13
1,NPZ_UAMB,6,90.35924594138338,11.869287490844727,1.8941898631577294,13
1,NPZ_UAMB,7,104.72612850984723,18.665210723876953,1.899336669077606,13
1,NPZ_UAMB,8,111.51500587797766,7.235875129699707,1.989056876203516,13
1,NPZ_UAMB,9,104.57722326835429,1.0011470317840576,2.047152397924015,13
1,NPZ_UAMB,10,100.21789099467914,12.279141426086426,2.0614278486282736,13
1,NPZ_UAMB,11,71.10975390238158,1.215285301208496,1.9731269957766475,13
1,NPZ_UAMB,12,101.8623816163576,11.07374382019043,1.9251647316790528,13
1,NPZ_UAMB,13,102.53815052435431,15.08356487751007,2.0399604694802993,13
2,MVRR_AMB,1,,0.0,,12
2,MVRR_AMB,2,,15.918304443359375,,12
2,MVRR_AMB,3,,8.810465812683105,,12
2,MVRR_AMB,4,,12.79161548614502,,12
2,MVRR_AMB,5,85.72071722139829,2.914905309677124,,12
2,MVRR_AMB,6,93.38158970847202,6.275573253631592,1.94196379705886,12
2,MVRR_AMB,7,101.40608233394143,18.433929443359375,2.0262937573312754,12
2,MVRR_AMB,8,89.10720250779133,16.315288543701172,2.0040419747412277,12
2,MVRR_AMB,9,97.13339456315822,2.47446346282959,2.0724668700788826,12
2,MVRR_AMB,10,87.32380234684732,2.3311002254486084,2.0041911285162883,12
2,MVRR_AMB,11,94.88044823837826,15.567550659179688,1.9751051701412985,12
2,MVRR_AMB,12,95.93749517580645,11.327779769897461,2.0413444346399463,12
2,MVRR_UAMB,1,,0.0,,14
2,MVRR_UAMB,2,,15.918304443359375,,14
2,MVRR_UAMB,3,,8.810465812683105,,14
2,MVRR_UAMB,4,,3.8776092529296875,,14
2,MVRR_UAMB,5,76.27396664691685,4.165928363800049,,14
2,MVRR_UAMB,6,89.78474038679659,10.032052040100098,1.8647202841257045,14
2,MVRR_UAMB,7,90.99820788931403,1.857087254524231,1.9904845964790114,14
2,MVRR_UAMB,8,83.83500122236954,7.60408353805542,1.9710151067294914,14
2,MVRR_UAMB,9,100.37003885118646,10.989229202270508,2.081521659593953,14
2,MVRR_UAMB,10,89.13899364748575,15.425764083862305,1.9951960955525638,14
2,MVRR_UAMB,11,97.1261424415165,3.3882267475128174,2.075719731079733,14
2,MVRR_UAMB,12,88.03517223145955,2.3580408096313477,2.005262935030479,14
2,MVRR_UAMB,13,95.04507393908186,15.861722946166992,1.9761184949083226,14
2,MVRR_UAMB,14,95.48653441922445,11.11618971824646,2.0422432297187942,14
2,NPS_AMB,1,,0.0,,12
2,NPS_AMB,2,,15.918304443359375,,12
2,NPS_AMB,3,,8.810465812683105,,12
2,NPS_AMB,4,,12.90439224243164,,12
2,NPS_AMB,5,81.99670441378173,3.8687641620635986,,12
2,NPS_AMB,6,92.23283753049532,9.356948852539062,1.8905404990890349,12
2,NPS_AMB,7,95.51002134620093,11.935093879699707,1.9999697951491544,12
2,NPS_AMB,8,92.03184272298944,16.8634033203125,1.9825513684524505,12
2,NPS_AMB,9,96.09833650431395,0.9180589318275452,2.0638607343658113,12
2,NPS_AMB,10,86.58553766672655,2.2645766735076904,1.9982591508697778,12
2,NPS_AMB,11,95.32844638619524,15.109546661376953,1.9779815757334571,12
2,NPS_AMB,12,95.99801812840454,11.127465963363647,2.0455999748972666,12
2,NPS_UAMB,1,,0.0,,13
2,NPS_UAMB,2,,15.918304443359375,,13
2,NPS_UAMB,3,,8.810465812683105,,13
2,NPS_UAMB,4,,12.90439224243164,,13
2,NPS_UAMB,5,80.69058817017199,3.1704320907592773,,13
2,NPS_UAMB,6,71.97998989691263,2.928144931793213,1.8810751346209444,13
2,NPS_UAMB,7,86.65242299237799,9.339630126953125,1.8833348809599768,13
2,NPS_UAMB,8,93.37922204096205,10.580574989318848,1.9414712868829822,13
2,NPS_UAMB,9,92.05341316265304,17.187602996826172,1.987607765931757,13
2,NPS_UAMB,10,94.39775085308209,0.8365985155105591,2.0758843375616074,13
2,NPS_UAMB,11,86.09213024768933,1.825924277305603,1.9960115979275403,13
2,NPS_UAMB,12,94.88372874292517,14.711282730102539,1.9757155047674992,13
2,NPS_UAMB,13,95.0492668843631,10.36466908454895,2.049719412000508,13
2,NPZ_AMB,1,,0.0,,13
2,NPZ_AMB,2,,3.3445544242858887,,13
2,NPZ_AMB,3,,15.327707290649414,,13
2,NPZ_AMB,4,,8.619423866271973,,13
2,NPZ_AMB,5,91.10005728187714,10.519704818725586,,13
2,NPZ_AMB,6,78.34118753359807,2.1557629108428955,2.0141076055855565,13
2,NPZ_AMB,7,90.92984640548478,3.23159122467041,1.9700906951040114,13
2,NPZ_AMB,8,100.56241685483026,16.279333114624023,2.055479748457183,13
2,NPZ_AMB,9,89.90908958715706,15.35322093963623,2.031679183846722,13
