story_id,layer,window,ahead0,ahead1,ahead2,ahead3
1,L6,3,0.4474107603162624,0.1348112402728796,0.2103940036083653,0.030857648165283295
1,L6,3,0.5698109098181718,0.013197596739763303,0.09904475212174912,0.12855006918146522
1,L6,3,0.10745006531608875,0.031700447677976376,0.01923450318032721,0.10491287575581593
1,L6,3,0.3062653497962193,0.05329632844218372,0.04482355037011605,0.008640787672715287
1,L6,3,0.6972799459422854,0.07012994912667452,0.05994992579309795,0.0183311161112263
1,L6,3,0.6236926643870413,0.05525921528205006,0.002228877686702613,0.044606545091845126
1,L6,3,0.13728613911025125,0.049052415882429375,0.05687581557334547,0.04094514324111553
1,L6,3,0.24585156082476575,0.09531037515708723,0.1604213283671303,0.05945671301938822
1,L6,3,0.4559291661632,0.1287436784225259,0.0765991910662175,0.05370699276998095
1,L6,3,0.5030057582275996,0.17327703073801662,0.013073563174099674,0.10723196286367385
1,L6,3,0.30718162895403955,0.15687058785134886,0.009119856269651007,0.1157402410043865
1,L6,3,0.38390919641101484,0.1060834408503325,0.04268624123847891,0.12559767915160244
1,L6,3,0.6374921053240159,0.06531335031528523,0.13216306275531078,0.20784818748253428
1,L6,3,0.38877989030688054,0.019605902926538007,0.11221111653274518,0.04160559298407521
1,L6,3,0.4378526340805269,0.14648351117261962,0.11664421240946275,0.19719514523827278
1,L6,3,0.5743364076680108,0.08445049024295058,0.11213536575525117,0.1311069255280465
1,L6,3,0.42768712942412607,0.010490666173550711,0.010949898020064925,0.06527026295006007
1,L6,3,0.5104417174286537,0.037392678728137466,0.002756877533693506,0.03345013710667698
1,L6,3,0.34576403675966916,0.08211867034048263,0.1775041580664126,0.017757262096646607
1,L6,3,0.5054147609756954,0.1238306875336376,0.012234616607515769,0.007853533029841864
1,L6,3,0.4948266222920215,0.013886093866510777,0.003523870223793288,0.0013648023521784232
1,L6,3,0.2456459899466422,0.010935600009440329,0.05699257331321578,0.03934523901141763
1,L6,3,0.3795784037314369,0.17084153652056033,0.008026946081680773,0.04777329944259315
1,L6,3,0.39445566661450493,0.09336029534748731,0.059919985545060395,0.011049091861467715
1,L6,3,0.316470261087608,0.22884975741845814,0.07389829101341733,0.14510476747106252
1,L6,3,0.5066512456825707,0.0359101085789893,0.10092386698391688,0.11133368706618385
1,L6,3,0.5981708457842242,0.09294699889101256,0.006213456832502429,0.015131149759783132
1,L6,3,0.3945177014713306,0.029408469286951434,0.01708249107169195,0.10084988823486689
1,L6,3,0.2315638340836442,0.13925425531675378,0.04236377945787313,0.27735182923281054
1,L6,3,0.5284421933247797,0.0955162453492594,0.0156864711014214,0.060918183060970396
1,L6,3,0.6157655535805368,0.038647338132964656,0.0029044702320005548,0.029947097023813436
1,L6,3,0.21571788662832014,0.005251325249630245,0.07615982254678759,0.00029217689842311553
1,L6,3,0.46715795015166084,0.09640046671295789,0.11425027520685571,0.06803614271473617
1,L6,3,0.646554489141496,0.067080960540776,0.023040144941536476,0.07585665932926779
1,L6,3,0.2875640498754935,0.101882198662802,0.1146756749179036,0.08726182953390145
1,L6,3,0.3336967425147589,0.01630868904513243,0.03313741648438156,0.015261020889815726
1,L6,3,0.5752754031822995,0.08729180425713372,0.07261146795330405,0.03390738564784453
1,L6,3,0.37208003141658413,0.09616718408238478,0.035769551110288234,0.07181168557934024
1,L6,3,0.3978998112638806,0.029788259682049654,0.13424929838263272,0.13439581381683363
1,L6,3,0.6064609799232182,0.125399589058974,0.1212099600243655,0.13498265483431157
1,L6,3,0.35705795766310056,0.03223635899852191,0.020790947724662095,0.009091453500193917
1,L6,3,0.4205120632327985,0.17102132765644254,0.22136672372310742,0.2740991472578117
1,L6,3,0.47747539380510934,0.10571042811435236,0.10133522749888949,0.13029743291716542
1,L6,3,0.38174836604249346,0.009352537004758982,0.032446542507036116,0.011068070806206953
1,L6,3,0.40135929536551535,0.07743837619567823,0.015246306136553452,0.02787371297560737
1,L6,3,0.4120254535820903,0.1617305219575533,0.08625967502261676,0.14821102151414567
1,L6,3,0.5722100896456277,0.16991946531209676,0.17078795398677796,0.036550609802177746
1,L6,3,0.43769986202800143,0.19434948370274185,0.042688425051096206,0.15943361612631798
1,L6,3,0.3042472031499731,0.0559128212533588,0.09214611037348443,0.018982900408435137
