item,Type,WordPosition,pres,surprisal,L6_k3,L12_k5,L6_k5,L6_k7
1,MVRR_AMB,1,A_isolated,0.0,,,,
1,MVRR_AMB,2,A_isolated,14.173537412496303,,,,
1,MVRR_AMB,3,A_isolated,12.483732195402828,,,,
1,MVRR_AMB,4,A_isolated,2.570902606410195,1960.9989416375445,,,
1,MVRR_AMB,5,A_isolated,10.285825562183893,88.85641064766546,,,
1,MVRR_AMB,6,A_isolated,22.45379073129657,105.99114880986942,89.69762013700858,1176.9761982867024,
1,MVRR_AMB,7,A_isolated,11.849361117013894,108.72773483196627,57.18757561628945,86.09175125091619,
1,MVRR_AMB,8,A_isolated,0.8801974900960808,107.19747574381829,39.94655981013276,79.2879682621043,857.6850860274844
1,MVRR_AMB,9,A_isolated,12.246142978750083,109.48212529242048,45.726390692888394,84.19730535365711,75.42760538183734
1,MVRR_AMB,10,A_isolated,1.2862369199542387,83.5924324069792,56.99646067568657,65.83590227961241,62.52634172874102
1,MVRR_AMB,11,A_isolated,9.8927303205516,83.19115519511053,42.412121800105886,71.74694717483864,65.3307585079108
1,MVRR_AMB,12,A_isolated,5.822561903956184,92.04622931324707,57.16755418304234,70.04573649554922,61.67378494675624
1,MVRR_AMB,1,B_prefix,72.44605526103518,,,,
1,MVRR_AMB,2,B_prefix,14.634009265361215,,,,
1,MVRR_AMB,3,B_prefix,11.069421859142867,,,,
1,MVRR_AMB,4,B_prefix,4.376735574942962,87.05815416001134,,,
1,MVRR_AMB,5,B_prefix,10.04701320491821,88.8847197714635,,,
1,MVRR_AMB,6,B_prefix,20.798889737161005,101.62537702612804,48.88719396368566,81.09982597655096,
1,MVRR_AMB,7,B_prefix,12.28673776365974,106.79555926315366,59.30654541338002,85.53652198718589,
1,MVRR_AMB,8,B_prefix,1.1463731470272902,104.79366201132281,34.84223471133504,77.82689971798625,71.22892764847705
1,MVRR_AMB,9,B_prefix,12.293476731851149,105.56384670423668,68.25524332614539,80.22109493655455,72.2352133533838
1,MVRR_AMB,10,B_prefix,1.2478462646980393,82.44921153885787,81.00413311028073,64.00827512776715,61.482628785500545
1,MVRR_AMB,11,B_prefix,10.2314501514259,81.26414077638631,57.07109882126841,70.04732284993966,63.497606827755064
1,MVRR_AMB,12,B_prefix,5.772861153631294,90.16069197707226,90.56687832942188,69.27741548163036,61.27780827467681
1,MVRR_AMB,1,C_droptok0,0.0,,,,
1,MVRR_AMB,2,C_droptok0,14.173537412496303,,,,
1,MVRR_AMB,3,C_droptok0,12.483732195402828,,,,
1,MVRR_AMB,4,C_droptok0,2.570902606410195,116.68864799323205,67.86501902006721,116.68864799323205,116.68864799323205
1,MVRR_AMB,5,C_droptok0,10.285825562183893,88.85641064766546,51.81230701503454,88.85641064766546,88.85641064766546
1,MVRR_AMB,6,C_droptok0,22.45379073129657,105.99114880986942,52.168306669076124,93.76598932256533,93.76598932256533
1,MVRR_AMB,7,C_droptok0,11.849361117013894,108.72773483196627,57.18757561628945,86.09175125091619,86.09175125091619
1,MVRR_AMB,8,C_droptok0,0.8801974900960808,107.19747574381829,39.94655981013276,79.2879682621043,79.09611959495564
1,MVRR_AMB,9,C_droptok0,12.246142978750083,109.48212529242048,45.726390692888394,84.19730535365711,75.42760538183734
1,MVRR_AMB,10,C_droptok0,1.2862369199542387,83.5924324069792,56.99646067568657,65.83590227961241,62.52634172874102
1,MVRR_AMB,11,C_droptok0,9.8927303205516,83.19115519511053,42.412121800105886,71.74694717483864,65.3307585079108
1,MVRR_AMB,12,C_droptok0,5.822561903956184,92.04622931324707,57.16755418304234,70.04573649554922,61.67378494675624
1,MVRR_UAMB,1,A_isolated,0.0,,,,
1,MVRR_UAMB,2,A_isolated,14.173553922830786,,,,
1,MVRR_UAMB,3,A_isolated,7.003744425509432,,,,
1,MVRR_UAMB,4,A_isolated,2.126735912725634,1957.3487133336184,,,
1,MVRR_UAMB,5,A_isolated,10.152038882216507,85.2403125107121,,,
1,MVRR_UAMB,6,A_isolated,7.287391971924445,83.60759165996859,53.26640349619531,1181.2187589911675,
1,MVRR_UAMB,7,A_isolated,10.538128238583255,82.45576435413821,44.08724271424943,77.77925353932343,
1,MVRR_UAMB,8,A_isolated,15.687330081251952,107.82628792480718,71.24508142476252,92.81695895751079,855.4030450761499
1,MVRR_UAMB,9,A_isolated,10.513759672817201,111.82598935736854,52.91478874571621,87.19209357575363,78.37587530928755
1,MVRR_UAMB,10,A_isolated,1.8171382480872333,107.35781649044381,37.86163786429815,79.74495532899148,73.83079506652426
1,MVRR_UAMB,11,A_isolated,11.285720311549401,111.09564088135092,44.524337423307095,85.39867089128359,77.99895047401412
1,MVRR_UAMB,12,A_isolated,1.2904546224839983,83.63038454779829,67.31491665275584,65.8816882271524,62.43926609975965
1,MVRR_UAMB,13,A_isolated,9.595723849748167,83.76796338863394,36.594789712903676,71.27444844915819,65.21533517236396
1,MVRR_UAMB,14,A_isolated,6.243310923951313,92.5845212990762,55.56343759280063,70.03460781424735,61.25272493193196
1,MVRR_UAMB,1,B_prefix,72.44605526103518,,,,
1,MVRR_UAMB,2,B_prefix,14.634009265361215,,,,
1,MVRR_UAMB,3,B_prefix,7.256316082774743,,,,
1,MVRR_UAMB,4,B_prefix,2.815471910930859,74.47467164745004,,,
1,MVRR_UAMB,5,B_prefix,8.928215842121588,85.23531384443575,,,
1,MVRR_UAMB,6,B_prefix,5.839359277483304,81.31096683739227,40.29499858968962,66.46658928366482,
1,MVRR_UAMB,7,B_prefix,9.793704086046,79.20384299443641,50.6370674930244,75.43612346470336,
1,MVRR_UAMB,8,B_prefix,13.836062048083646,103.7629153181535,58.22831255630411,89.79655345476883,80.33083570494685
1,MVRR_UAMB,9,B_prefix,10.01290766939091,108.94524362903047,58.912779774517574,84.82956146352824,76.75603524799013
1,MVRR_UAMB,10,B_prefix,1.908747730774373,104.320974098041,37.45301891256492,77.75309269834376,71.42481911602935
1,MVRR_UAMB,11,B_prefix,11.341174397493605,107.36471685247217,67.97025396907425,82.00784259607855,74.89062503061514
1,MVRR_UAMB,12,B_prefix,1.2581787243879006,82.36405077015863,87.63365911271109,64.36718772020649,61.2156698082207
1,MVRR_UAMB,13,B_prefix,9.857872876874724,81.77923643399004,50.05645232473154,69.42534164572294,63.773187125657266
1,MVRR_UAMB,14,B_prefix,6.124649258214056,90.73534706153391,90.73693001476619,69.1133127811291,60.729406558255
1,MVRR_UAMB,1,C_droptok0,0.0,,,,
1,MVRR_UAMB,2,C_droptok0,14.173553922830786,,,,
1,MVRR_UAMB,3,C_droptok0,7.003744425509432,,,,
1,MVRR_UAMB,4,C_droptok0,2.126735912725634,95.72309247170816,32.00909432170236,95.72309247170816,95.72309247170816
1,MVRR_UAMB,5,C_droptok0,10.152038882216507,85.2403125107121,98.30932294518246,85.2403125107121,85.2403125107121
1,MVRR_UAMB,6,C_droptok0,7.287391971924445,83.60759165996859,41.38336133003784,72.11179540777296,72.11179540777296
1,MVRR_UAMB,7,C_droptok0,10.538128238583255,82.45576435413821,44.08724271424943,77.77925353932343,77.77925353932343
1,MVRR_UAMB,8,C_droptok0,15.687330081251952,107.82628792480718,71.24508142476252,92.81695895751079,89.46678013094845
1,MVRR_UAMB,9,C_droptok0,10.513759672817201,111.82598935736854,52.91478874571621,87.19209357575363,78.37587530928755
1,MVRR_UAMB,10,C_droptok0,1.8171382480872333,107.35781649044381,37.86163786429815,79.74495532899148,73.83079506652426
1,MVRR_UAMB,11,C_droptok0,11.285720311549401,111.09564088135092,44.524337423307095,85.39867089128359,77.99895047401412
1,MVRR_UAMB,12,C_droptok0,1.2904546224839983,83.63038454779829,67.31491665275584,65.8816882271524,62.43926609975965
1,MVRR_UAMB,13,C_droptok0,9.595723849748167,83.76796338863394,36.594789712903676,71.27444844915819,65.21533517236396
1,MVRR_UAMB,14,C_droptok0,6.243310923951313,92.5845212990762,55.56343759280063,70.03460781424735,61.25272493193196
1,NPS_AMB,1,A_isolated,0.0,,,,
1,NPS_AMB,2,A_isolated,14.173537412496303,,,,
1,NPS_AMB,3,A_isolated,11.920894892883167,,,,
1,NPS_AMB,4,A_isolated,4.601181877416772,1957.4418067110207,,,
1,NPS_AMB,5,A_isolated,12.149014056848802,93.50915997478984,,,
1,NPS_AMB,6,A_isolated,22.747977374556456,107.43307297710261,82.54710555697703,1179.81905276903,
1,NPS_AMB,7,A_isolated,8.313688809919809,110.88574420644673,62.50633605809117,86.58812972787723,
1,NPS_AMB,8,A_isolated,0.5981128360207836,105.62842108521983,38.77337093679782,80.7756649802375,861.0723361383651
1,NPS_AMB,9,A_isolated,10.45579257637859,102.57050910579905,49.28822577394347,79.68636042951543,69.92488069747856
