story_id,t,u_human,u_pseudo,D_human,D_pseudo,D_cand_mean,n_cand,n_excl,human_in_cands
1,10,0.19047619047619047,0.6904761904761905,83.48291544618911,88.26200461918414,86.7431807646959,20,0,7
1,22,0.47619047619047616,0.47619047619047616,100.01195645537632,100.01195645537632,100.04848896271872,20,0,19
1,27,0.5714285714285714,0.23809523809523808,84.98716539761364,82.53236217350596,84.61684623082245,20,0,11
1,41,0.09523809523809523,0.6904761904761905,92.88641855559351,98.08922157714247,97.23026356492564,20,0,3
1,48,0.7380952380952381,0.7380952380952381,115.96083472042672,115.96083472042672,108.94401441351314,20,0,10
1,49,0.5238095238095238,0.5238095238095238,117.36659851734687,117.36659851734687,116.38571234729193,20,0,15
1,52,0.5,0.5,92.2152226679208,92.2152226679208,92.21522266792081,20,0,20
1,55,0.09523809523809523,0.3333333333333333,98.01157623895766,98.71486604448525,102.7104190133924,20,0,3
1,63,0.2857142857142857,0.7857142857142857,88.42645180140829,93.12534270865636,90.97476661250211,20,0,5
1,64,0.35714285714285715,0.3333333333333333,95.43309715361765,93.98978047295078,98.27758886745285,20,0,0
1,65,0.7619047619047619,0.3333333333333333,102.10591507630923,97.29154840985159,98.98523804080861,20,0,5
1,68,0.6666666666666666,0.47619047619047616,89.83949882028219,85.96609073387931,87.33008938676718,20,0,7
1,78,0.35714285714285715,0.9285714285714286,99.99803482566597,103.89180341279338,100.42390845226808,20,0,0
1,99,0.09523809523809523,0.023809523809523808,99.47655269246198,97.76548312161276,101.68781748990367,20,0,2
1,116,0.38095238095238093,0.38095238095238093,88.47587807630183,88.47587807630183,91.04388386352001,20,0,11
1,129,0.2619047619047619,0.5238095238095238,93.42749692695472,93.56618488209695,96.75007061750259,20,0,10
1,140,0.6190476190476191,0.19047619047619047,88.52412676943098,84.91902232265382,87.10213515090877,20,0,11
1,147,0.23809523809523808,0.8809523809523809,97.47454440051558,105.89311504068249,100.8578845203917,20,0,5
1,148,0.5476190476190477,0.5952380952380952,90.8197219745275,92.55466303923833,93.0876001461907,20,0,0
1,162,0.47619047619047616,0.8095238095238095,103.7173124677664,106.9007377168681,104.60065720058492,20,0,7
1,174,0.5476190476190477,0.07142857142857142,90.78510912974662,89.1513472492909,91.52255683856717,20,0,10
1,178,0.8333333333333334,0.9285714285714286,91.66937278242281,94.77092118350662,90.61386855279007,20,0,0
1,182,0.4523809523809524,0.4523809523809524,85.12067055264112,85.12067055264112,85.44784768891653,20,0,18
1,187,0.47619047619047616,0.47619047619047616,91.68634306074962,91.68634306074962,92.13182382905173,20,0,19
1,188,0.2619047619047619,0.5952380952380952,81.67798690526641,82.87367387469601,85.50754259211917,20,0,0
1,199,0.5952380952380952,0.5952380952380952,100.51012943300857,100.51012943300857,99.96138838873168,20,0,16
1,202,0.6904761904761905,0.6904761904761905,104.5101619710016,104.5101619710016,103.70304284001148,20,0,10
1,214,0.5,0.5,87.02324913647172,87.02324913647172,87.02324913647173,20,0,20
1,216,0.2619047619047619,0.6904761904761905,70.45615409753295,83.99680470288331,79.51383272099413,20,0,0
1,223,0.4523809523809524,0.4523809523809524,99.42287543465783,99.42287543465783,99.97480348067116,20,0,18
1,226,0.5714285714285714,0.5714285714285714,94.24434598307018,94.24434598307018,93.66808623798751,20,0,15
1,230,0.7142857142857143,0.47619047619047616,85.64091064869974,84.50525920045187,84.99490601937978,20,0,5
1,233,0.30952380952380953,0.30952380952380953,94.32679550262303,94.32679550262303,96.03600848664811,20,0,12
1,235,0.5,0.5,89.00288489809778,89.00288489809778,89.00288489809779,20,0,20
1,238,0.5,0.5,82.40671004029852,82.40671004029852,82.40671004029852,20,0,20
1,256,0.09523809523809523,0.7380952380952381,85.98999870718698,92.06522019680655,89.64091798313684,20,0,3
1,270,0.6666666666666666,0.23809523809523808,100.37087572992759,94.11484310207445,97.52186339955013,20,0,5
1,283,0.35714285714285715,0.35714285714285715,85.67580542668242,85.67580542668242,88.89905048962702,20,0,14
1,285,0.5476190476190477,0.5476190476190477,105.41602468123126,105.41602468123126,105.27948752578732,20,0,18
1,297,0.8095238095238095,0.8095238095238095,88.46967399774339,88.46967399774339,86.5986927914142,20,0,5
1,299,0.38095238095238093,0.38095238095238093,78.05564684271079,78.05564684271079,80.02173857126651,20,0,15
1,320,0.9047619047619048,0.14285714285714285,92.31867246123507,82.73117106394888,86.15798084219655,20,0,1
1,340,0.6666666666666666,0.6666666666666666,81.88786798030505,81.88786798030505,80.35254288685483,20,0,13
1,349,0.5,0.5,85.09041022397636,85.09041022397636,85.09041022397635,20,0,20
1,367,0.5952380952380952,0.023809523809523808,81.81527654800664,76.83036317927377,81.55904859945754,20,0,14
1,382,0.5,0.5,87.65152382542603,87.65152382542603,87.65152382542603,20,0,20
1,391,0.6904761904761905,0.4523809523809524,103.50551369751791,99.30073787029801,101.38363912124375,20,0,2
1,397,0.5,0.5,84.98418509324381,84.98418509324381,84.98418509324384,20,0,20
1,398,0.6666666666666666,0.6666666666666666,92.93125912551551,92.93125912551551,90.5944063205672,20,0,13
1,406,0.5,0.8809523809523809,92.46500329002002,100.64158137571674,94.2727676205985,20,0,2
1,413,0.5,0.5,80.16235133102128,80.16235133102128,80.16235133102127,20,0,20
1,418,0.5952380952380952,0.5952380952380952,106.3673692140797,106.3673692140797,104.87885774638326,20,0,16
1,419,0.5,0.5,113.17182407083534,113.17182407083534,113.17182407083536,20,0,20
1,431,0.5238095238095238,0.5238095238095238,91.83326032355907,91.83326032355907,91.81820402199233,20,0,15
1,433,0.4523809523809524,0.4523809523809524,79.99734597210463,79.99734597210463,81.60976398392768,20,0,18
1,439,0.5,0.5,87.8226569644069,87.8226569644069,87.82265696440689,20,0,20
1,440,0.047619047619047616,0.8809523809523809,82.4342248451501,91.19907781610881,86.67240785003312,20,0,1
1,448,0.40476190476190477,0.5476190476190477,94.12708026890257,97.97325193800341,96.15766273521928,20,0,6
1,457,0.16666666666666666,0.5952380952380952,95.22452780933135,98.37659400011516,97.67471534537678,20,0,2
1,463,0.5,0.5,80.31254662323315,80.31254662323315,80.31254662323315,20,0,20
1,464,0.5714285714285714,0.5714285714285714,84.53175461138571,84.53175461138571,85.57765463355788,20,0,9
1,466,0.6428571428571429,0.6428571428571429,91.53535729441323,91.53535729441323,88.80281365631558,20,0,14
1,470,0.5,0.9761904761904762,90.70658377614991,105.21080067481353,90.70658377614993,20,0,20
1,474,0.5,0.5,81.94060046945958,81.94060046945958,81.94060046945961,20,0,20
1,485,0.8095238095238095,0.9047619047619048,80.62492020540765,82.87419519454262,79.5646414647322,20,0,1
1,499,0.11904761904761904,0.6190476190476191,96.40394822060077,101.16115323462789,100.29789049961634,20,0,4
1,502,0.8571428571428571,0.5952380952380952,102.41313426496691,99.99353339042885,98.3549695517894,20,0,5
1,505,0.7380952380952381,0.4523809523809524,100.16554480515785,98.09571202050401,97.99159865161849,20,0,8
1,508,0.6428571428571429,0.14285714285714285,98.89904547285649,91.66036938018422,96.97028731090167,20,0,14
1,509,0.7142857142857143,0.23809523809523808,114.2390742088513,108.5286010918742,111.66936130621161,20,0,11
1,510,0.19047619047619047,0.7857142857142857,84.36583351091596,91.23052891225515,89.51594252898781,20,0,7
