story_id,word_idx,wake_L2_1,wake_rel_1,wake_cos_1,wake_L2_2,wake_rel_2,wake_cos_2,wake_L2_3,wake_rel_3,wake_cos_3,wake_L2_4,wake_rel_4,wake_cos_4,wake_L2_5,wake_rel_5,wake_cos_5
1,44,17.671628952026367,0.2468992305077472,0.028493106365203857,11.723382949829102,0.16208947495114448,0.012773752212524414,11.065836906433105,0.13392557794027823,0.00899815559387207,11.202762603759766,0.13328083011303699,0.008913993835449219,6.029772758483887,0.06875014190027984,0.0023655295372009277
1,50,30.81439971923828,0.39449998026965327,0.0741773247718811,17.286457061767578,0.2498502235481774,0.03116428852081299,6.649560928344727,0.09945746763531728,0.0049405694007873535,3.257847785949707,0.04323764275341319,0.0009340047836303711,3.4542245864868164,0.04178637603482517,0.0008727908134460449
1,56,51.07648468017578,0.693971760964369,0.23273921012878418,26.441953659057617,0.3295721096657978,0.05586838722229004,24.57912254333496,0.26999612056567834,0.03614330291748047,21.513269424438477,0.2350394049953643,0.028012990951538086,20.335742950439453,0.2638168888955753,0.03481793403625488
1,62,14.712119102478027,0.1769292925780411,0.015005350112915039,10.565171241760254,0.1576596442679917,0.012433111667633057,4.1502790451049805,0.04963815413371473,0.0012261271476745605,4.42863655090332,0.06187808273646261,0.001901865005493164,5.519321918487549,0.06791024584716236,0.002271890640258789
1,68,48.159393310546875,0.6734882398919918,0.2410029172897339,31.195287704467773,0.4185325617435595,0.0902099609375,18.758981704711914,0.2911629026988474,0.04285675287246704,13.917476654052734,0.18434682791009024,0.017006516456604004,8.026409149169922,0.10193385465021754,0.005173802375793457
1,74,47.71128463745117,0.6730412042047549,0.2253856062889099,20.7762393951416,0.2640874327570318,0.03547555208206177,10.014925003051758,0.13292482538301512,0.008863210678100586,3.913015842437744,0.05860380109525311,0.0017151832580566406,3.7814455032348633,0.04930042985051467,0.0012019872665405273
1,80,38.73105239868164,0.5499178246786377,0.1533462405204773,20.2036075592041,0.24947634153742582,0.03161579370498657,16.12297248840332,0.21133638720195305,0.022476494312286377,11.031600952148438,0.16856631072992195,0.014206290245056152,8.920797348022461,0.12234569621891556,0.007292330265045166
1,86,37.550113677978516,0.4836908804551193,0.12155258655548096,37.19868850708008,0.47305000175609524,0.11773532629013062,40.367061614990234,0.5119255329534571,0.14080125093460083,21.44729995727539,0.2536464249912703,0.03258717060089111,15.170303344726562,0.1969001428920843,0.019474387168884277
1,92,32.007835388183594,0.3706904123077532,0.07069003582000732,14.13609790802002,0.1864568796107368,0.01731085777282715,5.422092914581299,0.06624333788853559,0.0021291375160217285,4.008570671081543,0.057858291329901404,0.0016289949417114258,1.9329913854599,0.025037000165028488,0.0003088712692260742
1,98,9.565642356872559,0.14897195229524535,0.010896265506744385,2.9979376792907715,0.040288547653431636,0.0008065700531005859,2.0816495418548584,0.025424987839435826,0.00031065940856933594,1.7943381071090698,0.023224436762625627,0.0002694129943847656,2.744497060775757,0.036939515676460984,0.000680088996887207
