item,Type,WordPosition,surp_xl,surp_pythia410m
1,MVRR_AMB,1,0.0,0.0
1,MVRR_AMB,2,12.470760575944153,15.689443404065754
1,MVRR_AMB,3,12.75771569270056,10.907471300270187
1,MVRR_AMB,4,3.328138778506124,3.910859683222639
1,MVRR_AMB,5,11.899815323332215,13.119210842063321
1,MVRR_AMB,6,24.710236131285587,26.164813109557358
1,MVRR_AMB,7,12.10091119733308,9.504961725581827
1,MVRR_AMB,8,1.0002679517178796,1.6773607244596926
1,MVRR_AMB,9,11.072380648668311,12.534509729104771
1,MVRR_AMB,10,1.0809295347990455,1.256723321204974
1,MVRR_AMB,11,9.508973048930551,9.891125378453747
1,MVRR_AMB,12,5.080844070412908,4.789949519055838
1,MVRR_UAMB,1,0.0,0.0
1,MVRR_UAMB,2,12.470760575944153,15.707615778886522
1,MVRR_UAMB,3,6.3745486490502605,5.829243945890157
1,MVRR_UAMB,4,2.1641796315061828,2.8796818056131395
1,MVRR_UAMB,5,11.076417425449362,9.733124229175482
1,MVRR_UAMB,6,7.966592736017884,8.892836947047298
1,MVRR_UAMB,7,9.858053802623433,9.464379323423033
1,MVRR_UAMB,8,17.333798422050414,18.53755865402628
1,MVRR_UAMB,9,11.36944628150364,10.83352495177461
1,MVRR_UAMB,10,1.9582842376676897,2.04957692831194
1,MVRR_UAMB,11,10.075494219831695,10.88025745352826
1,MVRR_UAMB,12,1.335819604189312,1.273485094323365
1,MVRR_UAMB,13,9.954833255778158,10.053955112637638
1,MVRR_UAMB,14,5.1052879645800395,4.700826733517523
1,NPS_AMB,1,0.0,0.0
1,NPS_AMB,2,12.470760575944153,15.689443404065754
1,NPS_AMB,3,10.956623941886779,11.865510975860515
1,NPS_AMB,4,4.984305564952041,4.776927508680458
1,NPS_AMB,5,14.535464582278033,14.665296349206177
1,NPS_AMB,6,24.472710204248358,26.383811689582437
1,NPS_AMB,7,6.645876734218669,8.910159727572804
1,NPS_AMB,8,1.3537000384602402,2.030756522862721
1,NPS_AMB,9,9.411390780761598,10.928239237257777
1,NPS_AMB,10,1.7270828006332901,1.1873947068850637
1,NPS_AMB,11,9.558579724745421,9.78904748379124
1,NPS_AMB,12,3.4203784916173507,3.8748288879102533
1,NPS_UAMB,1,0.0,0.0
