item,Type,WordPosition,tee,surp,sent_len
1,MVRR_AMB,1,,0.0,12
1,MVRR_AMB,2,,14.173537412496303,12
1,MVRR_AMB,3,,12.483732195402828,12
1,MVRR_AMB,4,,2.570902606410195,12
1,MVRR_AMB,5,88.85641064766546,10.285825562183893,12
1,MVRR_AMB,6,105.9911488098694,22.45379073129657,12
1,MVRR_AMB,7,108.72773483196626,11.849361117013894,12
1,MVRR_AMB,8,107.19747574381826,0.8801974900960808,12
1,MVRR_AMB,9,109.48212529242045,12.246142978750083,12
1,MVRR_AMB,10,83.5924324069792,1.2862369199542387,12
1,MVRR_AMB,11,83.19115519511053,9.8927303205516,12
1,MVRR_AMB,12,92.04622931324704,5.822561903956184,12
1,MVRR_UAMB,1,,0.0,14
1,MVRR_UAMB,2,,14.173553922830786,14
1,MVRR_UAMB,3,,7.003744425509432,14
1,MVRR_UAMB,4,,2.126735912725634,14
1,MVRR_UAMB,5,85.24031251071209,10.152038882216507,14
1,MVRR_UAMB,6,83.60759165996855,7.287391971924445,14
1,MVRR_UAMB,7,82.45576435413821,10.538128238583255,14
1,MVRR_UAMB,8,107.82628792480715,15.687330081251952,14
1,MVRR_UAMB,9,111.82598935736851,10.513759672817201,14
1,MVRR_UAMB,10,107.3578164904438,1.8171382480872333,14
1,MVRR_UAMB,11,111.09564088135087,11.285720311549401,14
1,MVRR_UAMB,12,83.63038454779829,1.2904546224839983,14
1,MVRR_UAMB,13,83.76796338863394,9.595723849748167,14
1,MVRR_UAMB,14,92.58452129907619,6.243310923951313,14
1,NPS_AMB,1,,0.0,12
1,NPS_AMB,2,,14.173537412496303,12
1,NPS_AMB,3,,11.920894892883167,12
1,NPS_AMB,4,,4.601181877416772,12
1,NPS_AMB,5,93.50915997478984,12.149014056848802,12
1,NPS_AMB,6,107.4330729771026,22.747977374556456,12
1,NPS_AMB,7,110.88574420644672,8.313688809919809,12
1,NPS_AMB,8,105.62842108521981,0.5981128360207836,12
1,NPS_AMB,9,102.57050910579903,10.45579257637859,12
1,NPS_AMB,10,72.62379758388283,1.9839643431292224,12
1,NPS_AMB,11,100.46904361586137,8.341903595689757,12
1,NPS_AMB,12,97.81516390182531,3.3058264373137867,12
1,NPS_UAMB,1,,0.0,13
1,NPS_UAMB,2,,14.173553922830786,13
1,NPS_UAMB,3,,11.920874254965064,13
1,NPS_UAMB,4,,7.421473774120712,13
1,NPS_UAMB,5,73.2699392703412,3.094822298831414,13
1,NPS_UAMB,6,85.2914926356022,12.302846346670155,13
1,NPS_UAMB,7,106.17387681383303,17.065722872775122,13
1,NPS_UAMB,8,111.86760023079128,7.359795292076481,13
1,NPS_UAMB,9,106.08877974696847,0.590127595549898,13
1,NPS_UAMB,10,102.36812211282113,10.51561708544652,13
1,NPS_UAMB,11,72.30580844571368,1.9453045350244225,13
1,NPS_UAMB,12,100.88175220278285,8.699447959596897,13
1,NPS_UAMB,13,98.20785658573651,3.1817760391770467,13
1,NPZ_AMB,1,,0.0,13
1,NPZ_AMB,2,,3.6404293474917346,13
1,NPZ_AMB,3,,12.35156146442295,13
1,NPZ_AMB,4,,11.63300281464486,13
1,NPZ_AMB,5,82.69163666873553,3.022768791391233,13
1,NPZ_AMB,6,97.87589907852183,10.57991451929809,13
1,NPZ_AMB,7,107.54861698717632,24.493675577319138,13
1,NPZ_AMB,8,112.40228726247098,8.4887974174447,13
1,NPZ_AMB,9,106.6063345889657,0.5650959076777806,13
1,NPZ_AMB,10,103.64482878191309,11.568846406566998,13
1,NPZ_AMB,11,71.75390685551709,1.3164360415498428,13
1,NPZ_AMB,12,103.28247889761917,12.541574776402216,13
1,NPZ_AMB,13,103.13216737232338,15.475970798595547,13
1,NPZ_UAMB,1,,0.0,13
1,NPZ_UAMB,2,,3.6404293474917346,13
1,NPZ_UAMB,3,,12.35156146442295,13
1,NPZ_UAMB,4,,19.223014083166298,13
1,NPZ_UAMB,5,67.74517219735004,2.427839526220571,13
1,NPZ_UAMB,6,90.35925477314353,11.869348252766565,13
1,NPZ_UAMB,7,104.72612849496612,18.66526884297338,13
1,NPZ_UAMB,8,111.51502755908074,7.235965719663448,13
1,NPZ_UAMB,9,104.577210013104,1.00118195351589,13
1,NPZ_UAMB,10,100.21789360295728,12.27922693733126,13
1,NPZ_UAMB,11,71.10975270279357,1.2153242594285567,13
1,NPZ_UAMB,12,101.86237502623062,11.073744815054955,13
