story_id,word_idx,wake_rel_1,wake_coarse_1,wake_nbhd_1,wake_switch_1,wake_rel_2,wake_coarse_2,wake_nbhd_2,wake_switch_2,wake_rel_3,wake_coarse_3,wake_nbhd_3,wake_switch_3,wake_rel_4,wake_coarse_4,wake_nbhd_4,wake_switch_4,wake_rel_5,wake_coarse_5,wake_nbhd_5,wake_switch_5,wake_rel_6,wake_coarse_6,wake_nbhd_6,wake_switch_6,wake_rel_7,wake_coarse_7,wake_nbhd_7,wake_switch_7,wake_rel_8,wake_coarse_8,wake_nbhd_8,wake_switch_8,wake_rel_9,wake_coarse_9,wake_nbhd_9,wake_switch_9,wake_rel_10,wake_coarse_10,wake_nbhd_10,wake_switch_10
1,44,0.2468990108915062,0.2468990108915062,0.00455592843135141,0.0,0.16208919609046615,0.1944000123798187,0.0019415368397820004,0.0,0.13392560323100391,0.15910727405620403,0.0014170855655414173,0.0,0.1332808648521855,0.13101707982556993,0.0030373146325168754,0.0,0.06875023291315362,0.11307415241966602,0.001005898714582769,0.0,0.067597636527262,0.08772505462020148,0.0007750983064920688,0.0,0.03543862426040642,0.07519615076653821,0.0008312614835905721,0.0,0.0421515209825013,0.06363741437046751,0.0006526629491568493,0.0,0.03819314747252822,0.04709358325105813,0.0006532493890055467,0.0,0.030027992177415523,0.03776542230928251,0.00047694720493166606,0.0
1,50,0.39449989090460763,0.39449989090460763,0.003945592184923722,0.0,0.24985049374799162,0.2953260838982175,0.0037900012485739512,0.0,0.09945758980659651,0.2253750465463069,0.0014466715884810463,0.0,0.0432374747623122,0.17824163958490097,0.0010000645191358577,0.0,0.041786307429862696,0.14902595922528974,0.0010663450136964572,0.0,0.024881299617709778,0.087401831223937,0.0005737084752033447,0.0,0.011028781366488292,0.040385584012475356,0.00035899801207534454,0.0,0.009119422080732787,0.024200987946545353,0.00039611517773003793,0.0,0.013350652200140182,0.01751694524248443,0.00045134114331749466,0.0,0.012576606932035697,0.011360495478158383,0.0004642173917363973,0.0
1,56,0.6939720224200397,0.6939720224200397,0.015090959873473492,0.0,0.3295722059119685,0.45317324768258,0.006919789144252183,0.0,0.2699958952012649,0.3491201644392181,0.013951271785670037,1.0,0.2350395300032993,0.2876879879565214,0.0071184352265240185,0.0,0.263817027262638,0.27015752870713317,0.006871175347254451,0.0,0.16511386302026185,0.22005392409805066,0.002915364310762971,0.0,0.15259009823571448,0.19850893100844252,0.002833813850543493,0.0,0.1650955574170508,0.1859723691713821,0.003296326489486403,0.0,0.10312200897186809,0.16903853903908697,0.002683932966216638,0.0,0.12252827686038514,0.14591926397557836,0.0030501368959758614,0.0
1,62,0.17692922923473334,0.17692922923473334,0.0028350215013309733,0.0,0.157659554125756,0.153058344166572,0.0027016634326077872,0.0,0.04963836790805298,0.11411937693202819,0.000830656259121134,0.0,0.061878225180072736,0.09690548352137676,0.0014355403984043149,0.0,0.06791029446133512,0.08845293866957035,0.001482280765344441,0.0,0.06769623108313658,0.06910303008513279,0.0016667076202158276,0.0,0.04637967160130506,0.05120925694084147,0.0007529456860580836,0.0,0.03234179553327685,0.048801531033190224,0.0008065567363519329,0.0,0.03997819969009233,0.04615750415495273,0.0006254627914849887,0.0,0.0380607623202173,0.040874575243440514,0.0007128579587499402,0.0
1,68,0.6734887809548539,0.6734887809548539,0.010259446371365886,0.0,0.41853258365219387,0.5056113281494156,0.005709617410492469,0.0,0.2911631809928616,0.42102559477875684,0.0028563401415102113,0.0,0.184346651222944,0.3498103503223454,0.0025612832694506815,0.0,0.10193374911965318,0.2960640794633907,0.0023018087291716803,0.0,0.07512029370273075,0.18924376797736783,0.0014066811505566142,0.0,0.04968012921876368,0.12682448048733747,0.00078870543468736,0.0,0.05212827996082248,0.09007388526838639,0.0009107673705771865,0.0,0.06282222443873008,0.06780670204600213,0.001641712171358741,0.0,0.059101597735881334,0.05538959041790835,0.0010300458312496557,0.0
1,74,0.6730411641530261,0.6730411641530261,0.01289122095997779,0.0,0.26408761974832157,0.4343283741238176,0.003186784677014161,0.0,0.1329249711323065,0.32467989207328624,0.0015309259969317375,0.0,0.05860385514477487,0.26164349789702895,0.0008874255155953692,0.0,0.049300398875890404,0.2141689295266236,0.0007258038362151823,0.0,0.04180968922085727,0.10435880056197155,0.0009102198444041537,0.0,0.03513005238910304,0.05386685419258858,0.0008062637141115432,0.0,0.029727972814810315,0.03484525017839364,0.0006485266240199986,0.0,0.024203796612799016,0.030128176748094197,0.0005808226076049413,0.0,0.029755059000340377,0.026829758220930266,0.0005072756195461374,0.0
1,80,0.5499176993071603,0.5499176993071603,0.007880724064405776,0.0,0.24947642769602835,0.37948482986086796,0.004913707909894675,0.0,0.21133643143416755,0.3114571276181192,0.0021215758055003575,0.0,0.168566528000044,0.26824418069939,0.002193767946394505,0.0,0.12234550910675632,0.23224962182330794,0.0029816617018212552,0.0,0.036002064471025955,0.15014371919862812,0.00048311032729156166,0.0,0.02692055717361287,0.10070807664127517,0.0004974799253517637,0.0,0.020890116993313806,0.06294739619783657,0.0004038038766966795,0.0,0.02803111756693439,0.036181804303354055,0.0006322398817514141,0.0,0.01705362523348544,0.02006543095483887,0.00033332471994807855,0.0
1,86,0.4836907327828889,0.4836907327828889,0.007766355392586781,0.0,0.4730499116077726,0.464893856539708,0.007064622774588569,0.0,0.5119252203989684,0.4582532087617721,0.007686344057039757,0.0,0.253646341277368,0.40211840249146774,0.005086013002558018,0.0,0.19690022209380525,0.36079208270545343,0.0025643654153164126,0.0,0.12786735896656073,0.3033883497718284,0.0019293875793442996,0.0,0.10750040207678958,0.2353272428761177,0.002135720642222685,0.0,0.16600424100816236,0.17225914848983448,0.002124059617750948,0.0,0.1594978557476788,0.15356783135548407,0.0017891817659816875,0.0,0.12167023960905415,0.13685509995976297,0.001327018440191588,0.0
1,92,0.3706904676568384,0.3706904676568384,0.011860167477692845,0.0,0.18645717487008945,0.25880925058873844,0.0026762591785359155,0.0,0.0662434558801825,0.18474194236416855,0.0012449796101505024,0.0,0.05785806997731328,0.14587797172726308,0.0012207090762735805,0.0,0.025036975177276457,0.12142834450493059,0.00043655931415500176,0.0,0.038492046640483876,0.05721848352080194,0.0005528719184393312,0.0,0.019274173220545584,0.029903786822767668,0.0003720502909898042,0.0,0.01088643747198412,0.021751722858386478,0.00021097607785524605,0.0,0.008011312112211276,0.01582430003210257,0.00018960483716408104,0.0,0.011828501915857022,0.013614647789215697,0.00025897941022168117,0.0
1,98,0.1489720308585989,0.1489720308585989,0.0016489622644623447,0.0,0.04028842561459788,0.08670726979870007,0.0006210122532374493,0.0,0.02542500175159873,0.06033727640452816,0.0006382922979275523,0.0,0.023224428478284997,0.04912936155541991,0.0005767949141016403,0.0,0.03693955624053843,0.04421603208869269,0.0006876908532743972,0.0,0.028951861430215355,0.025979499367250393,0.0005262471026805628,0.0,0.047687221088350065,0.026711597099510972,0.001028259485498804,0.0,0.0508748872799477,0.029444785303673914,0.0008337696952570317,0.0,0.04164993585145796,0.03401497480615632,0.0005963010561997435,0.0,0.13859128456459763,0.04697296188964186,0.003324040536781891,0.0
