story_id,word_idx,wake_rel_1,wake_nbhd_1,wake_rel_2,wake_nbhd_2,wake_rel_3,wake_nbhd_3,wake_rel_4,wake_nbhd_4,wake_rel_5,wake_nbhd_5,wake_rel_6,wake_nbhd_6,wake_rel_7,wake_nbhd_7,wake_rel_8,wake_nbhd_8,wake_rel_9,wake_nbhd_9,wake_rel_10,wake_nbhd_10
1,44,0.24574194848537445,0.004667730337693711,0.1716388314962387,0.004052106311824667,0.15792763233184814,0.0031733311082658383,0.21423371136188507,0.0046207451661467985,0.0852203518152237,0.0017959208094644628,0.09027226269245148,0.0016075504739216763,0.05088339373469353,0.001049768908947466,0.048050642013549805,0.0006621082000703492,0.045362282544374466,0.0008432181140106286,0.027375830337405205,0.0005296740421097875
1,56,0.6074375510215759,0.017661506160174464,0.3505210280418396,0.008518113729264901,0.19739335775375366,0.012269678696863932,0.26092442870140076,0.008447379318592295,0.266217440366745,0.008167311516023212,0.1949213743209839,0.007349045034199695,0.16626714169979095,0.007200652558647468,0.14867056906223297,0.005266929639271231,0.10581652820110321,0.00451984966239578,0.13821201026439667,0.003409522148711312
1,68,0.5402708649635315,0.008258281157927663,0.40640565752983093,0.008074531509941583,0.35554981231689453,0.00575070010514324,0.2043081521987915,0.003666624738156062,0.13194268941879272,0.0019749256513145563,0.09417200833559036,0.0015409229339255494,0.07853569835424423,0.0019682938844118925,0.08322380483150482,0.0012740455212539167,0.1016877219080925,0.0015968578671700384,0.09281984716653824,0.002754089121744287
1,80,0.4085521996021271,0.008340643841729478,0.19026197493076324,0.0034420517872270303,0.1431981921195984,0.0024001254134613874,0.15400220453739166,0.0025763792685464374,0.11294960230588913,0.0021695557992445617,0.050611790269613266,0.00062507720537623,0.03766142204403877,0.0008665612774030173,0.03323029726743698,0.0006409713668041079,0.03288629278540611,0.001054527338144511,0.028412118554115295,0.0006646835881108755
1,92,0.32669001817703247,0.009171318062030245,0.24186238646507263,0.0029327085175388963,0.06427741795778275,0.001220570050885579,0.066034696996212,0.0011722668377882057,0.028853764757514,0.0006187329187885441,0.055525314062833786,0.001998841370321078,0.03579152375459671,0.0006571219514429952,0.033392127603292465,0.000928527033629369,0.024328727275133133,0.000878838157541323,0.025492168962955475,0.0005959765958847196
1,104,0.22222915291786194,0.005852573513051659,0.23796717822551727,0.00481769148412754,0.18759621679782867,0.002854222734829237,0.13858042657375336,0.0026327077442901887,0.07180483639240265,0.0012107961186969985,0.14043016731739044,0.0035334168962152944,0.10319928824901581,0.0026438391862523085,0.04504762962460518,0.0005105298586455486,0.03468741476535797,0.0007038068853797714,0.023331208154559135,0.0011036760146270752
1,116,0.5940820574760437,0.013297842440079647,0.35203659534454346,0.0077393639393836,0.22151833772659302,0.0030491545177198207,0.07818993180990219,0.0027893145055130106,0.0839739665389061,0.00272422090029728,0.04546962305903435,0.0012994254779899424,0.03750927746295929,0.0006980828235204429,0.03168033808469772,0.001109717510133667,0.027797503396868706,0.0009183059571116491,0.02410854771733284,0.0014483795424775866
1,128,0.38127610087394714,0.011748928944909608,0.22527533769607544,0.005903873869119859,0.19052749872207642,0.005898092296856502,0.11870619654655457,0.004428695686666751,0.055544354021549225,0.002512652781539495,0.05667493864893913,0.0015654240971800823,0.043064530938863754,0.0011654858373779792,0.02682601287961006,0.0008397601485396898,0.02633313462138176,0.0007911055387322815,0.026464620605111122,0.0007697559581804164
1,140,0.5123569965362549,0.010122895771359818,0.2915278673171997,0.00446406888267977,0.13617807626724243,0.0021230587022214877,0.06741891801357269,0.0019528455692299892,0.18587112426757812,0.002660977245236478,0.13940945267677307,0.0025141289092801026,0.12059422582387924,0.0015649546466115622,0.08534391224384308,0.001207971247165508,0.08073380589485168,0.001237794971405236,0.0573788657784462,0.0015573360014363706
1,152,0.2698898911476135,0.005579075845915149,0.43889445066452026,0.012349011913069113,0.351664662361145,0.009365820093229721,0.28983375430107117,0.007140922869499441,0.15400876104831696,0.00427700462993184,0.20147040486335754,0.003175088607967357,0.17649590969085693,0.0035230485036471305,0.09650960564613342,0.0019484744993412354,0.06987009942531586,0.0015553115559382759,0.06065274029970169,0.0011795074639768212
1,164,0.28355672955513,0.0051767652952279895,0.08525725454092026,0.002164724200547061,0.05440550670027733,0.0010194919466292006,0.030115166679024696,0.0014167173107577475,0.03761358931660652,0.000895028789128983,0.03530917689204216,0.0010030659910554547,0.025682726874947548,0.0006242060156901005,0.023510931059718132,0.00063362208151105,0.01711754873394966,0.0003051619549795845,0.01745733618736267,0.00037460331443143075
1,176,0.4273734390735626,0.008603801896162678,0.1705608069896698,0.002511197464456479,0.1905520111322403,0.004742685611898624,0.3355911374092102,0.011613397921883237,0.1632782220840454,0.0049665045801343425,0.2954334616661072,0.004941138727810976,0.14592429995536804,0.002286486942386375,0.07577244937419891,0.0029947443391174088,0.08733450621366501,0.002018033007305018,0.06900154799222946,0.0016273203730600596
1,188,0.5222269892692566,0.011019521384756923,0.44950854778289795,0.012516100743742896,0.333642840385437,0.00588322480646299,0.15463946759700775,0.0019225449686579284,0.06812091916799545,0.002016303221651789,0.03597674146294594,0.001775311431429777,0.027178486809134483,0.0011923809512455028,0.02068009413778782,0.001132907222170545,0.020609719678759575,0.0010832059090347685,0.020245011895895004,0.0013060275372980172
1,200,0.6152786016464233,0.012976329559288458,0.4446972906589508,0.006807401386513623,0.35305699706077576,0.00581742229719974,0.2655442953109741,0.003277792172646581,0.14873471856117249,0.00479750298001183,0.2322024405002594,0.00999942119544062,0.17540092766284943,0.0059964975732624244,0.12536311149597168,0.004032839718065394,0.11652438342571259,0.0035589726405117535,0.0964231863617897,0.002001282956929171
