table,measure,target,r,p,n
posFE,wtee_perp,surprisal,0.36177170050136004,1.28764137125606e-301,9840
posFE,wtee_perp,tee_k3,0.5221418250556071,0.0,9840
posFE,ctee_m5_par,closure_depth,0.16137623384896357,2.542616489267561e-58,9840
posFE,ctee_m5_par,entropy,0.05430939766240047,7.173357949420082e-08,9840
posFE,ctee_m5_par,surprisal,0.11676434436596925,3.5533686793097026e-31,9840
posFE,ctee_m5_par,tee_k3,0.13862999267831275,2.318236448041325e-43,9840
posFE,ctee_m5_perp,closure_depth,-0.1158710213264866,1.0077147358103041e-30,9840
posFE,ctee_m5_perp,entropy,0.12208055426027446,6.07662163202766e-34,9840
posFE,ctee_m5_perp,surprisal,0.14654392843455893,2.672127966567508e-48,9840
posFE,ctee_m5_perp,tee_k3,0.21973833761466702,9.75250808120859e-108,9840
posFE+punct,wtee,closure_depth,0.10529336842061485,1.2564629755587659e-25,9840
posFE+punct,wtee,entropy,-0.030549116432912457,0.0024586490273826502,9840
posFE+punct,wtee,surprisal,0.21145584234323678,1.0135825737933368e-99,9840
posFE+punct,wtee,tee_k3,0.8330598163202839,0.0,9840
posFE+punct,ctee_m3,closure_depth,0.10896781449775395,2.430419857197822e-27,9840
posFE+punct,ctee_m3,entropy,0.14481584732874792,3.419434286417959e-47,9840
posFE+punct,ctee_m3,surprisal,0.22132967785422308,2.6489265362978977e-109,9840
posFE+punct,ctee_m3,tee_k3,0.2766039223052228,4.833664621683996e-172,9840
posFE+punct,ctee_m5,closure_depth,0.10384453794917535,5.734920895086934e-25,9840
posFE+punct,ctee_m5,entropy,0.1361327921103291,7.394671236045869e-42,9840
posFE+punct,ctee_m5,surprisal,0.21578472510686053,7.302053972062704e-104,9840
posFE+punct,ctee_m5,tee_k3,0.2924062734656576,6.163209834101753e-193,9840
posFE+punct,ctee_m10,closure_depth,0.10841243667590025,4.451024816226041e-27,9840
posFE+punct,ctee_m10,entropy,0.14577386654860697,8.404152618294654e-48,9840
posFE+punct,ctee_m10,surprisal,0.21886754832917918,7.201795684699499e-107,9840
posFE+punct,ctee_m10,tee_k3,0.3044695758957437,8.154181141630401e-210,9840
posFE+punct,ntee_k30,closure_depth,0.1145383144262781,4.7319743937564994e-30,9840
posFE+punct,ntee_k30,entropy,0.14440589864770348,6.215576162231206e-47,9840
posFE+punct,ntee_k30,surprisal,0.06311570531326714,3.811751189395722e-10,9840
posFE+punct,ntee_k30,tee_k3,0.28634427011691066,9.255998027164068e-185,9840
posFE+punct,ntee_k100,closure_depth,0.12745137081574115,7.3212120716839185e-37,9840
posFE+punct,ntee_k100,entropy,0.14978435518676037,2.1281174834554792e-50,9840
posFE+punct,ntee_k100,surprisal,0.09191054750409136,6.94901750260998e-20,9840
posFE+punct,ntee_k100,tee_k3,0.32810052972467413,2.7752871462133697e-245,9840
posFE+punct,ntee_k300,closure_depth,0.1188738958583966,2.956216242445929e-32,9840
posFE+punct,ntee_k300,entropy,0.10385141558990299,5.69402036580895e-25,9840
posFE+punct,ntee_k300,surprisal,0.08193364749484196,4.1534861505712703e-16,9840
posFE+punct,ntee_k300,tee_k3,0.4356523937750663,0.0,9840
posFE+punct,nswitch_k100,closure_depth,-0.007615648626288192,0.45037700078668375,9840
posFE+punct,nswitch_k100,entropy,0.04638201293765136,4.238556666759546e-06,9840
posFE+punct,nswitch_k100,surprisal,-0.02857473688661427,0.004617423868446333,9840
posFE+punct,nswitch_k100,tee_k3,-0.10729421654011075,1.490896056342646e-26,9840
posFE+punct,wtee_par,closure_depth,0.02932666684748094,0.003647406147053497,9840
posFE+punct,wtee_par,entropy,-0.20655133004104592,3.8794318874017065e-95,9840
posFE+punct,wtee_par,surprisal,-0.001324768662802399,0.8955412131708853,9840
posFE+punct,wtee_par,tee_k3,0.6568917093148727,0.0,9840
posFE+punct,wtee_perp,closure_depth,0.1730347203785971,6.688546119094733e-67,9840
posFE+punct,wtee_perp,entropy,0.2653372832611098,5.739936155090503e-158,9840
posFE+punct,wtee_perp,surprisal,0.41192196586043983,0.0,9840
posFE+punct,wtee_perp,tee_k3,0.5665573345958242,0.0,9840
posFE+punct,ctee_m5_par,closure_depth,0.06408932589304414,2.0395141421418648e-10,9840
posFE+punct,ctee_m5_par,entropy,0.054093077156971404,8.094332449124886e-08,9840
posFE+punct,ctee_m5_par,surprisal,0.08920506277577601,8.099152160023229e-19,9840
posFE+punct,ctee_m5_par,tee_k3,0.1179331344327711,9.03838836795982e-32,9840
posFE+punct,ctee_m5_perp,closure_depth,0.07922256487385028,3.720769770620701e-15,9840
posFE+punct,ctee_m5_perp,entropy,0.12810592814817823,3.1597653566426474e-37,9840
posFE+punct,ctee_m5_perp,surprisal,0.2025923988360282,1.5962078520137476e-91,9840
posFE+punct,ctee_m5_perp,tee_k3,0.26723524092008155,2.7239037945307928e-160,9840
punct-free,wtee,closure_depth,0.14420366995509937,1.8382413959841207e-41,8674
punct-free,wtee,entropy,0.01612057808537855,0.13360203685269598,8674
punct-free,wtee,surprisal,0.2785452469942384,4.455781860027261e-154,8674
punct-free,wtee,tee_k3,0.9018343352254308,0.0,8674
punct-free,ctee_m3,closure_depth,0.10948864170787319,1.6440300901198702e-24,8674
punct-free,ctee_m3,entropy,0.17806731033920897,1.2666086385717558e-62,8674
punct-free,ctee_m3,surprisal,0.269804819677653,2.5476948687205604e-144,8674
punct-free,ctee_m3,tee_k3,0.3016180095277802,1.3529401319868323e-181,8674
punct-free,ctee_m5,closure_depth,0.11125274769744042,2.937299209381754e-25,8674
punct-free,ctee_m5,entropy,0.17075081797883046,1.1734948011514562e-57,8674
punct-free,ctee_m5,surprisal,0.2602150226678929,5.010058008853657e-134,8674
punct-free,ctee_m5,tee_k3,0.3118041316299662,1.4101366859030442e-194,8674
punct-free,ctee_m10,closure_depth,0.1139236987984305,2.0538576976673014e-26,8674
punct-free,ctee_m10,entropy,0.1837048615177155,1.333705986486738e-66,8674
punct-free,ctee_m10,surprisal,0.2672494619979168,1.5520522579713723e-141,8674
punct-free,ctee_m10,tee_k3,0.32085657326048694,1.4858411243018137e-206,8674
punct-free,ntee_k30,closure_depth,0.07711570765953829,6.672377696815064e-13,8674
punct-free,ntee_k30,entropy,0.16456581278706195,1.2511573041688318e-53,8674
punct-free,ntee_k30,surprisal,0.08984790958605972,5.433691643852354e-17,8674
punct-free,ntee_k30,tee_k3,0.297272293158207,3.255528171698251e-176,8674
punct-free,ntee_k100,closure_depth,0.05879166683321218,4.373955769975588e-08,8674
punct-free,ntee_k100,entropy,0.18512371492311294,1.2683559617254376e-67,8674
punct-free,ntee_k100,surprisal,0.1261481649933418,4.6838373808686763e-32,8674
punct-free,ntee_k100,tee_k3,0.331357231728074,5.614750599234604e-221,8674
punct-free,ntee_k300,closure_depth,0.09343486532606812,2.965224038931613e-18,8674
punct-free,ntee_k300,entropy,0.1403035877194077,2.543265871857112e-39,8674
punct-free,ntee_k300,surprisal,0.11856313662135198,1.7373298370347058e-28,8674
punct-free,ntee_k300,tee_k3,0.45468546117161074,0.0,8674
punct-free,nswitch_k100,closure_depth,-0.08024850862458462,7.498087167348884e-14,8674
punct-free,nswitch_k100,entropy,0.05513512593289054,2.8366182076743157e-07,8674
punct-free,nswitch_k100,surprisal,-0.02782987631824703,0.009598943186977956,8674
punct-free,nswitch_k100,tee_k3,-0.12325007583935396,1.150495735354823e-30,8674
punct-free,wtee_par,closure_depth,0.042517157726185965,7.563445299026231e-05,8674
punct-free,wtee_par,entropy,-0.19010032276210562,2.837740966698498e-71,8674
punct-free,wtee_par,surprisal,0.027991987067781787,0.009186243343488422,8674
punct-free,wtee_par,tee_k3,0.7154883136928776,0.0,8674
punct-free,wtee_perp,closure_depth,0.2123344221632297,7.423523084971889e-89,8674
punct-free,wtee_perp,entropy,0.3128168751588139,6.76125140351605e-196,8674
punct-free,wtee_perp,surprisal,0.4772107402665429,0.0,8674
punct-free,wtee_perp,tee_k3,0.5907720958742707,0.0,8674
punct-free,ctee_m5_par,closure_depth,0.00895175023441003,0.40487944621578026,8674
punct-free,ctee_m5_par,entropy,0.0851916696665591,2.00304377679224e-15,8674
punct-free,ctee_m5_par,surprisal,0.1189986860058539,1.0990090371968249e-28,8674
punct-free,ctee_m5_par,tee_k3,0.11988824593064987,4.290558951239724e-29,8674
punct-free,ctee_m5_perp,closure_depth,0.12768110338895253,8.35433584796954e-33,8674
punct-free,ctee_m5_perp,entropy,0.14749022329993614,2.5893394813361564e-43,8674
punct-free,ctee_m5_perp,surprisal,0.2368191910837895,1.1111178487812061e-110,8674
punct-free,ctee_m5_perp,tee_k3,0.2921595812300854,5.307010605776367e-170,8674
