table,measure,target,r,p,n
posFE,wtee,closure_depth,0.10739602979866114,1.3284140739207073e-26,9840
posFE,wtee,entropy,-0.030263338593322985,0.0026980707768899117,9840
posFE,wtee,surprisal,0.2155475811099634,1.2089123359834496e-103,9840
posFE,wtee,tee_k3,0.830368491649186,0.0,9840
posFE,ctee_m3,closure_depth,0.03334438707276212,0.0009470549913879472,9840
posFE,ctee_m3,entropy,0.14399664587186803,1.1149056274915113e-46,9840
posFE,ctee_m3,surprisal,0.20454468921058752,2.635717382251606e-93,9840
posFE,ctee_m3,tee_k3,0.2633445064120647,1.4541928541806523e-155,9840
posFE,ctee_m5,closure_depth,0.002426858833267888,0.8099155333648599,9840
posFE,ctee_m5,entropy,0.13458091522970658,6.063148277790216e-41,9840
posFE,ctee_m5,surprisal,0.19118870433721485,1.5317681326109951e-81,9840
posFE,ctee_m5,tee_k3,0.2723293435332619,1.2221952539399893e-166,9840
posFE,ctee_m10,closure_depth,0.011176302959715955,0.26796638896925107,9840
posFE,ctee_m10,entropy,0.14433501423268233,6.818452960629441e-47,9840
posFE,ctee_m10,surprisal,0.19579262270767323,1.6842014471385998e-85,9840
posFE,ctee_m10,tee_k3,0.28555629604872035,9.90740377823197e-184,9840
posFE,ntee_k30,closure_depth,0.14767248222263546,5.006847292634453e-49,9840
posFE,ntee_k30,entropy,0.14432416088258895,6.926976129547645e-47,9840
posFE,ntee_k30,surprisal,0.07835927540775856,7.343045240913316e-15,9840
posFE,ntee_k30,tee_k3,0.29524413448571796,7.455200756678427e-197,9840
posFE,ntee_k100,closure_depth,0.2002061059678293,2.1689586929168408e-89,9840
posFE,ntee_k100,entropy,0.14880513099254578,9.200741497224944e-50,9840
posFE,ntee_k100,surprisal,0.11741133937383794,1.6617730474704852e-31,9840
posFE,ntee_k100,tee_k3,0.342701222818965,7.182359583358175e-269,9840
posFE,ntee_k300,closure_depth,0.14005828954666918,3.124611247187322e-44,9840
posFE,ntee_k300,entropy,0.10399913888711955,4.855355577703741e-25,9840
posFE,ntee_k300,surprisal,0.09400552194671753,9.825767003097111e-21,9840
posFE,ntee_k300,tee_k3,0.4408457042961942,0.0,9840
posFE,nswitch_k100,closure_depth,0.04246165698548091,2.548903685436805e-05,9840
posFE,nswitch_k100,entropy,0.04669167923505769,3.6512864187634687e-06,9840
posFE,nswitch_k100,surprisal,-0.015279762610484051,0.1298939426824989,9840
posFE,nswitch_k100,tee_k3,-0.0960616274309821,1.3864371983934078e-21,9840
posFE,wtee_par,closure_depth,0.13313062270198867,4.2728787034987354e-40,9840
posFE,wtee_par,entropy,-0.2025941663203569,1.5572916070798654e-91,9840
posFE,wtee_par,surprisal,0.028286329355599892,0.005045409748175485,9840
posFE,wtee_par,tee_k3,0.6644498115032893,0.0,9840
posFE,wtee_perp,closure_depth,-0.0064340071838333585,0.523666362049259,9840
posFE,wtee_perp,entropy,0.25867792448957044,5.585429791401659e-150,9840
