table,measure,target,r,p,n
posFE,qtee_k5,closure_depth,0.16847891271965787,1.7741368612778743e-63,9840
posFE,qtee_k5,entropy,-0.03380211761188842,0.000804603724397945,9840
posFE,qtee_k5,surprisal,0.22402622028568475,5.144799548717862e-112,9840
posFE,qtee_k5,tee_k3,0.8820209820454312,0.0,9840
posFE,qtee_k7,closure_depth,0.18083173508747422,5.290662403517942e-73,9840
posFE,qtee_k7,entropy,0.048872085784237795,1.2547947541045455e-06,9840
posFE,qtee_k7,surprisal,0.29510592884785725,1.1569804993300125e-196,9840
posFE,qtee_k7,tee_k3,0.8597135142672558,0.0,9840
posFE,ldstee_k10,closure_depth,0.022217727356464295,0.027640585627644106,9840
posFE,ldstee_k10,entropy,-0.05303678545320609,1.4376776393452738e-07,9840
posFE,ldstee_k10,surprisal,0.10473222571789668,2.255295703016255e-25,9840
posFE,ldstee_k10,tee_k3,0.447053213788303,0.0,9840
posFE,ftee_n50,closure_depth,0.19209362320248455,2.6004403320043927e-82,9840
posFE,ftee_n50,entropy,0.03782337229768297,0.00017672788650179803,9840
posFE,ftee_n50,surprisal,0.3354888076350223,4.528751813018926e-257,9840
posFE,ftee_n50,tee_k3,0.8148949340778532,0.0,9840
posFE,fgap_n50,closure_depth,-0.061733581721942876,9.098169669528476e-10,9840
posFE,fgap_n50,entropy,0.1812790245737948,2.3185348694971903e-73,9840
posFE,fgap_n50,surprisal,0.06773234207990268,1.8058933525341374e-11,9840
posFE,fgap_n50,tee_k3,0.100777557355929,1.3239306780877785e-23,9840
posFE+punct,qtee_k5,closure_depth,0.0834697283602664,1.161155768097088e-16,9840
posFE+punct,qtee_k5,entropy,-0.03522432705684042,0.00047921230231992806,9840
posFE+punct,qtee_k5,surprisal,0.20143590508798825,1.7564804240206612e-90,9840
posFE+punct,qtee_k5,tee_k3,0.8796405357349018,0.0,9840
posFE+punct,qtee_k7,closure_depth,0.11797076527159767,8.644735499603067e-32,9840
posFE+punct,qtee_k7,entropy,0.04851768570227147,1.499144160703929e-06,9840
posFE+punct,qtee_k7,surprisal,0.2773940801697706,4.695858195864272e-173,9840
posFE+punct,qtee_k7,tee_k3,0.856966473724774,0.0,9840
posFE+punct,ldstee_k10,closure_depth,0.06692877610256383,3.1228413461097324e-11,9840
posFE+punct,ldstee_k10,entropy,-0.05283350412112534,1.6065458450404308e-07,9840
posFE+punct,ldstee_k10,surprisal,0.1140088709214559,8.680463028170748e-30,9840
posFE+punct,ldstee_k10,tee_k3,0.45751295383626095,0.0,9840
posFE+punct,ftee_n50,closure_depth,0.100114878452727,2.59282493325961e-23,9840
posFE+punct,ftee_n50,entropy,0.037360901638423934,0.0002121617972512704,9840
posFE+punct,ftee_n50,surprisal,0.3139673653230695,1.1067359321853014e-223,9840
posFE+punct,ftee_n50,tee_k3,0.8110140880149007,0.0,9840
posFE+punct,fgap_n50,closure_depth,0.0411913133877862,4.423965639901188e-05,9840
posFE+punct,fgap_n50,entropy,0.1839109390433472,1.7594902532938446e-75,9840
posFE+punct,fgap_n50,surprisal,0.09460426079344514,5.605016472920688e-21,9840
posFE+punct,fgap_n50,tee_k3,0.12216918837823193,5.492330371770395e-34,9840
punct-free,qtee_k5,closure_depth,0.11921923471395997,8.70988324239516e-29,8674
punct-free,qtee_k5,entropy,-0.056338656009210966,1.5523815856144678e-07,8674
punct-free,qtee_k5,surprisal,0.22102211662598875,2.6684069009999124e-96,8674
punct-free,qtee_k5,tee_k3,0.8842597621557647,0.0,8674
punct-free,qtee_k7,closure_depth,0.13925383154548224,9.361529128324378e-39,8674
punct-free,qtee_k7,entropy,0.05376004824534484,5.564187921225093e-07,8674
punct-free,qtee_k7,surprisal,0.31634719425421065,1.5509815575141552e-200,8674
punct-free,qtee_k7,tee_k3,0.8633768488764897,0.0,8674
punct-free,ldstee_k10,closure_depth,0.09966794573496111,1.4469802417780696e-20,8674
punct-free,ldstee_k10,entropy,-0.06983350753936102,7.735831198116623e-11,8674
punct-free,ldstee_k10,surprisal,0.12557996155938234,8.826199429571289e-32,8674
punct-free,ldstee_k10,tee_k3,0.4821455270987027,0.0,8674
punct-free,ftee_n50,closure_depth,0.12615874411288241,4.6287797262970467e-32,8674
punct-free,ftee_n50,entropy,0.03590350832191908,0.0008325381584350404,8674
punct-free,ftee_n50,surprisal,0.3432340158166512,5.452446987240777e-238,8674
punct-free,ftee_n50,tee_k3,0.8289509806420731,0.0,8674
punct-free,fgap_n50,closure_depth,0.07753055906202919,5.019861785674766e-13,8674
punct-free,fgap_n50,entropy,0.21764084198170883,2.3037434802334973e-93,8674
punct-free,fgap_n50,surprisal,0.11013961293537629,8.73586525274148e-25,8674
punct-free,fgap_n50,tee_k3,0.10557416177004017,6.802799014389629e-23,8674
