model,term,beta,p
B. FINE + COARSE (L0..L3),nswitch_k100_L2,-0.0010282021546052997,0.051881158879449614
B. FINE + COARSE (L0..L3),nswitch_k100_L3,0.00017091513583607568,0.7557294428094915
C. COARSE + lexical controls (no fine TEE),ctee_m5,8.376687268045815e-05,0.8788058569350289
C. COARSE + lexical controls (no fine TEE),ctee_m5_L1,0.0009724975910498802,0.05190296462019726
C. COARSE + lexical controls (no fine TEE),ctee_m5_L2,0.00035739052780364104,0.47265672577408446
C. COARSE + lexical controls (no fine TEE),ctee_m5_L3,-0.0003414880571140644,0.5462805585505273
C. COARSE + lexical controls (no fine TEE),ctee_m10,0.0006617175170716624,0.24114365871675814
C. COARSE + lexical controls (no fine TEE),ctee_m10_L1,0.0008059666394631855,0.14500958404140254
C. COARSE + lexical controls (no fine TEE),ctee_m10_L2,0.00016619230440649384,0.763329815837084
C. COARSE + lexical controls (no fine TEE),ctee_m10_L3,0.0003573884946157374,0.5116526019805019
C. COARSE + lexical controls (no fine TEE),ntee_k100,0.004613912761291854,2.3173527241099736e-15
C. COARSE + lexical controls (no fine TEE),ntee_k100_L1,5.464729551172415e-05,0.9281377505320071
C. COARSE + lexical controls (no fine TEE),ntee_k100_L2,-0.003239689468168369,1.8378684156589443e-09
C. COARSE + lexical controls (no fine TEE),ntee_k100_L3,-0.0006854909084170052,0.22821683803687587
C. COARSE + lexical controls (no fine TEE),nswitch_k100,-0.0014523152054123634,0.005534711108180373
C. COARSE + lexical controls (no fine TEE),nswitch_k100_L1,-0.0010845281722909814,0.038125885460057456
C. COARSE + lexical controls (no fine TEE),nswitch_k100_L2,-0.0010014451328948168,0.05770017598373638
C. COARSE + lexical controls (no fine TEE),nswitch_k100_L3,0.00012418207088839284,0.8234356789131331
D. PUNCT-FREE (current word not punct-final),tee3_perp,0.0020010914830831117,0.014807321787825487
D. PUNCT-FREE (current word not punct-final),tee3_perp_L1,0.0006316485012810152,0.4828229694260229
D. PUNCT-FREE (current word not punct-final),tee3_perp_L2,-0.0030660282457923987,0.00041044940544660014
D. PUNCT-FREE (current word not punct-final),tee3_perp_L3,-0.0006670584736962748,0.4230637781208644
D. PUNCT-FREE (current word not punct-final),tee3_par,0.002213138254772453,0.009862028441678014
D. PUNCT-FREE (current word not punct-final),tee3_par_L1,0.004834784004525534,3.923679921549046e-09
D. PUNCT-FREE (current word not punct-final),tee3_par_L2,-0.0017320982096768727,0.009862658407952002
D. PUNCT-FREE (current word not punct-final),tee3_par_L3,-0.0010610848909365107,0.036473142073917414
D. PUNCT-FREE (current word not punct-final),surprisal,0.006137094985145664,5.068382284502715e-20
D. PUNCT-FREE (current word not punct-final),surprisal_L1,0.010653382872784608,3.464244167189964e-53
D. PUNCT-FREE (current word not punct-final),surprisal_L2,0.0014579180278290159,0.04663448104305464
D. PUNCT-FREE (current word not punct-final),surprisal_L3,-0.0021899863550741035,0.0006778435119501081
D. PUNCT-FREE (current word not punct-final),word_length,0.009939908702181553,3.5736270829669116e-31
D. PUNCT-FREE (current word not punct-final),word_length_L1,0.006325815767701068,2.2082784166456804e-14
D. PUNCT-FREE (current word not punct-final),word_length_L2,-0.005499127156259644,1.0795512637043247e-11
D. PUNCT-FREE (current word not punct-final),word_length_L3,-0.0018773203343873807,0.007555859651433939
D. PUNCT-FREE (current word not punct-final),log_freq,0.0012386288448464622,0.1750483043184109
D. PUNCT-FREE (current word not punct-final),log_freq_L1,-0.0005564801825984553,0.556410867377997
D. PUNCT-FREE (current word not punct-final),log_freq_L2,-0.0009085130164105809,0.3655484307414425
D. PUNCT-FREE (current word not punct-final),log_freq_L3,-0.00010861950513292584,0.903464275160796
D. PUNCT-FREE (current word not punct-final),has_trailing_punct_L1,0.012868383129419635,7.506317184634973e-64
