tag,family,lag,term,beta,p,n
ALL,wake_rel,8,surprisal,0.06361149446141418,0.024300786231277075,1627
ALL,wake_rel,8,ctee_m5,-0.028149842449660185,0.2669382487628915,1627
ALL,wake_rel,8,ntee_k100,0.13310659989925924,9.989682213062824e-07,1627
ALL,wake_rel,9,tee3_perp,0.0099355474397093,0.7778476448272467,1627
ALL,wake_rel,9,tee3_par,-0.06532884176000539,0.008431216753981268,1627
ALL,wake_rel,9,surprisal,0.05996581988532993,0.04567099435796849,1627
ALL,wake_rel,9,ctee_m5,-0.0077501938397716436,0.7529276688601872,1627
ALL,wake_rel,9,ntee_k100,0.14272740143325663,7.209514450245544e-07,1627
ALL,wake_rel,10,tee3_perp,0.048659479067687916,0.15570268601355455,1627
ALL,wake_rel,10,tee3_par,-0.060701701396188315,0.030835099161296984,1627
ALL,wake_rel,10,surprisal,-0.012421133262107288,0.6510104396954765,1627
ALL,wake_rel,10,ctee_m5,-0.004465645101682087,0.8707599398915724,1627
ALL,wake_rel,10,ntee_k100,0.15649141075917916,3.4597820258714634e-09,1627
ALL,wake_coarse,1,tee3_perp,0.11852129439714246,0.0011505055951105045,1627
ALL,wake_coarse,1,tee3_par,0.000278945462185428,0.99150201289185,1627
ALL,wake_coarse,1,surprisal,0.05718365660717956,0.07215268879464845,1627
ALL,wake_coarse,1,ctee_m5,0.022477505269543903,0.3592872618064633,1627
ALL,wake_coarse,1,ntee_k100,0.2189588266829366,7.357899627393299e-17,1627
ALL,wake_coarse,2,tee3_perp,0.10320049848186584,0.0045590166639666784,1627
ALL,wake_coarse,2,tee3_par,-0.03401221084660344,0.19876908069363808,1627
ALL,wake_coarse,2,surprisal,0.10250254884129775,0.0011642708811237074,1627
ALL,wake_coarse,2,ctee_m5,0.023903072528725037,0.33490580089761546,1627
ALL,wake_coarse,2,ntee_k100,0.21585943718464817,4.998528347651271e-16,1627
ALL,wake_coarse,3,tee3_perp,0.08622408107275861,0.014326228138309593,1627
