sid,sent,ntee9_first,ntee9_ho_first,ntee6_first,ntee9_mean,tee6_mean,surprisal,entropy,nwords,boundary_prop,surprising_prop,human_bnd
1,1,0.10480512427788423,0.12311863364193146,0.12129584977872837,0.0809047369608625,78.10328248940513,2.7581692584179107,3.300980278244242,20.0,0.125,0.125,0.0
1,2,0.10428020050645935,0.12290827208400568,0.1227070045130779,0.10848199625833421,82.99826151445174,2.7689625322818756,3.2707083106040953,10.0,0.125,0.0,0.0
1,3,0.10426555898776278,0.12296278675353495,0.10991715959264414,0.09000532271156243,87.09673967634394,3.4384539265884086,3.0537504866453156,14.0,0.125,0.0,0.0
1,4,0.11393048649648507,0.1343987931764033,0.10818985177254667,0.09867604660929945,79.46503348820039,3.5493058032459683,2.9947616391711764,9.0,0.125,0.125,0.0
1,5,0.12749153315353115,0.14867210243771137,0.14076048611549866,0.09688524444264963,83.06452330281614,4.087181932913761,3.4128568147619567,12.0,0.625,0.5,1.0
1,6,0.07003488826585233,0.08629630112931583,0.09050994151317007,0.10850820482423887,84.90503025928855,2.454291265986215,2.3392746451382456,13.0,0.0,0.0,0.0
1,7,0.11348527116233618,0.1334810382087792,0.1209588064881781,0.08873545332172479,80.78997112719881,2.8392400628224057,2.4439309970374503,23.0,0.125,0.0,0.0
1,8,0.06935633237178852,0.09177544684623165,0.0899293115403281,0.09044060719016406,83.04190664537481,2.8440360757211844,2.7368518749872845,15.0,0.75,0.5,1.0
1,9,0.12441022560575936,0.14547814694258462,0.13613343706994838,0.0893666038375723,83.48067835144705,3.6457124639521625,3.165998132789836,17.0,0.625,0.625,1.0
1,10,0.12473485170467079,0.1448761308039415,0.14259031758199742,0.11871952212002843,82.58868579381576,2.694697856903076,3.3099085092544556,4.0,0.0,0.0,0.0
1,11,0.1076463889220843,0.12754435225726587,0.11805327151585336,0.09251458856555582,80.22113200329761,2.7534160732697086,3.172212029229207,29.0,0.125,0.125,0.0
1,12,0.08553430455602556,0.10994969874046769,0.11420315035332687,0.09096445175019037,84.41659005565751,3.215337339043617,2.8921268224716186,5.0,0.375,0.0,0.0
1,13,0.08042882985467037,0.10200530661504051,0.12457178977873223,0.07132996991183621,84.95492261137393,3.3208335399524205,2.49998766142461,9.0,0.375,0.375,0.0
2,1,0.09288981390606947,0.1032296406993386,0.11982819123830223,0.08242519000751439,83.56438578763485,3.7962406516075133,4.735545992851257,10.0,1.0,0.375,1.0
2,2,0.09171731351348046,0.10698790638673561,0.12208047356558233,0.08584702325537927,82.5241541062143,2.4341825576913028,2.8771265000104904,18.0,0.625,0.25,1.0
2,3,0.09471267771144688,0.10870271345469823,0.12093602796062784,0.09442670027010111,88.19362723002888,3.298826784454286,2.493971233069897,20.0,0.75,0.375,1.0
2,4,0.10333623615111158,0.11397373151230374,0.12673657687867412,0.10848650429708907,83.5272734627316,2.4955912487847463,2.793128252029419,7.0,0.625,0.25,0.0
2,5,0.1016952890351164,0.11345232639941161,0.11725994830951222,0.09256163239169696,86.09989642972673,2.8038189575541765,3.1220352202653885,20.0,0.625,0.375,1.0
2,6,0.09771123245388098,0.11835579177442046,0.13170079081496122,0.10053268091310721,86.52565422851029,4.009868156909943,2.7329232931137084,5.0,0.25,0.0,0.0
2,7,0.07793880177987976,0.09125693453003102,0.11044484703388621,0.09931910475986068,85.36677425257636,3.618001735210419,2.642844581604004,5.0,0.375,0.0,0.0
2,8,0.10187179967299165,0.11168171384647353,0.1279700707833488,0.08680806907759377,79.96369366563069,1.9513477141206914,2.9160612415183675,22.0,0.625,0.0,1.0
2,9,0.09588792861144757,0.11606818793595232,0.10036186066145118,0.10168609252450903,76.50167362903527,1.962472130835522,2.8755231982629215,7.0,0.5,0.0,0.0
2,10,0.0889846935100535,0.10924472743396939,0.10026711185787394,0.094976635177937,81.87619445330792,3.4902859903298893,3.491392520757822,13.0,0.75,0.625,1.0
2,11,0.07471562298208932,0.09309837730553235,0.09092015438093758,0.08526040957535773,85.33716065745917,3.7479991936369945,3.1261090353915564,19.0,0.75,0.25,1.0
2,12,0.09766337483949566,0.1180566978409571,0.11722371396370747,0.09624463397175949,73.69918130880974,2.667200962702433,3.374489446481069,6.0,0.125,0.0,0.0
2,13,0.10519457461478647,0.11610008174076411,0.1244100573515336,0.08325120217524025,85.26515780641478,4.447760908227218,3.6713473420394096,19.0,0.625,0.25,0.0
2,14,0.10976503214350207,0.1230950635955581,0.12585638796374912,0.10014876543561844,88.33462307684535,3.162963266269519,2.9208397452647867,13.0,0.75,0.375,1.0
2,15,0.1082534079826894,0.11617204118955592,0.12781174565984607,0.09949250437993651,88.90320421050177,2.6924522295594215,3.353328843911489,6.0,0.5,0.0,1.0
2,16,0.10391092212965784,0.11287347654599068,0.11184742613240001,0.08921225247194496,80.28463608867693,3.044182879022426,3.4620066434144974,18.0,0.125,0.0,0.0
2,17,0.12300747535577608,0.13263710684105615,0.12351172314760614,0.1006693241835102,77.5305373699892,2.454896605014801,3.6365257263183595,5.0,0.25,0.0,0.0
2,18,0.10220663777737972,0.12351353516650895,0.09953968149591838,0.0865782781244824,74.65253130750489,3.3114307754569583,3.418523761961195,9.0,0.375,0.25,0.0
2,19,0.11598431552343179,0.13702519710783248,0.13804586974192737,0.08434113897530436,82.57226950846217,2.213551992407212,2.363614119016207,13.0,0.25,0.0,0.0
2,20,0.13251252545939005,0.1418631520253955,0.15416362498028793,0.10076463867231714,83.34177485523868,3.283108298267637,2.3311921869005476,7.0,0.875,0.25,1.0
2,21,0.08751852834893385,0.10872285345714926,0.11107374059851675,0.08096458821779999,80.8362206206146,3.38169618571798,3.2468062539895377,18.0,0.5,0.0,0.0
2,22,0.10358522688938403,0.11260623632782141,0.11398238514488435,0.08223254739778278,84.96006031323765,3.7445828517278037,4.151823282241821,9.0,0.625,0.25,0.0
2,23,0.10481344650478627,0.12410999980346646,0.10911895504622049,0.08493867648572784,81.06468791859614,2.6623821907809804,3.3822746106556485,14.0,0.625,0.125,1.0
3,1,0.07848527379698653,0.09013663788457353,0.08366930959984681,0.0839438218653274,79.59089388303391,2.9503126023158144,3.535336866043508,26.0,0.875,0.375,1.0
3,2,0.09269406835399222,0.10665980359565501,0.10085301374640207,0.09339159177741956,85.23263735004382,3.374498804269189,3.214273498181931,11.0,0.5,0.25,0.0
3,3,0.10489140039159077,0.12425887427296334,0.12232848055890583,0.08899023913936394,89.13099214111483,3.490433312486857,2.601973444223404,8.0,1.0,0.625,1.0
3,4,0.09645550221035704,0.11029243816569025,0.09908755699898195,0.09122836562585354,82.88191451933184,3.122776210308075,4.077809480520395,13.0,0.75,0.125,1.0
3,5,0.1179495864194393,0.13797645490169966,0.1272271930708313,0.09357011537305458,82.16525730154669,3.638763439655304,3.297711157798767,10.0,0.375,0.0,0.0
3,6,0.10576174857099535,0.12502105304082972,0.13130860905910216,0.09120507672609064,81.85650979348813,2.9325590942947506,3.2494929246604443,12.0,0.375,0.0,0.0
3,7,0.10558450368490614,0.12206780783926743,0.12113928241054514,0.0919863373469676,87.66232827710539,4.115367456277212,3.2507503827412925,15.0,0.375,0.125,0.0
3,8,0.12446239274109792,0.14352914685828613,0.1300153500146882,0.09665482079197216,83.10743074163935,3.513990807533264,3.475940227508545,5.0,0.125,0.125,0.0
3,9,0.12215437849965848,0.13992441008858011,0.12799055834316403,0.09406792237218571,77.31322265609495,3.5391434090478078,3.9030023983546664,7.0,0.25,0.0,0.0
3,10,0.09636940765297665,0.11372967908874095,0.1150486681458235,0.08991542273627443,81.9555765291496,2.86833676447471,3.225073436896006,9.0,0.875,0.125,1.0
3,11,0.10209518811092198,0.11796512760713078,0.11405035602854927,0.0894211700850842,80.16891954553775,2.502188049113521,2.954905281273218,13.0,0.125,0.125,0.0
3,12,0.0984918504714843,0.11516494456367432,0.11601438800103293,0.09003026651888814,83.9705086394992,2.6886530487160933,3.8196041646756624,19.0,0.375,0.125,0.0
3,13,0.09560254966539065,0.1134553763454815,0.1166957402672851,0.08731693691177218,82.29234255452388,2.622335021966137,2.6080806881189345,10.0,0.625,0.0,1.0
4,1,0.11657482027788653,0.13670650429873552,0.13153455371274891,0.0956521678638416,91.68583361365236,3.7121579527854918,3.4090177536010744,10.0,1.0,0.75,1.0
4,2,0.07478775242732556,0.1091668323343121,0.12535238473112228,0.09227165177776267,88.22912440208987,3.1658449530601502,3.3608895778656005,15.0,0.625,0.375,1.0
4,3,0.12350100746934033,0.12377288617391762,0.11089652420580816,0.1012804033169715,83.32765605240287,2.32650469920852,3.0709290612827647,11.0,0.375,0.125,0.0
4,4,0.12493591961377193,0.13367644530729245,0.14920940202367633,0.10085902329113884,88.17976486063422,2.954165526798793,2.8010675566537038,7.0,0.625,0.375,1.0
4,5,0.08889233537099048,0.10058179505210625,0.10643113520515878,0.08628376015958074,81.37608724034398,3.243908612200847,3.1337014069923987,13.0,0.75,0.25,1.0
4,6,0.09636152574905842,0.1185678769909765,0.117126827066658,0.09991011004837999,83.13940566414209,2.889251242081324,3.588397718138165,9.0,0.5,0.0,1.0
4,7,0.09922372583900932,0.11085490896137572,0.11942504676246704,0.09614554545979456,86.99425801177225,2.619343277066946,3.014883518218994,8.0,0.5,0.125,0.0
4,8,0.11605793575811883,0.1256798585405519,0.14778363377338727,0.09131467115803771,87.173330854344,2.163202983637651,2.584721766412258,12.0,0.75,0.375,1.0
4,9,0.1316637167639918,0.14287489049916893,0.15601682451902243,0.10265745335110837,80.66155180813024,2.1085188094940452,2.91830446322759,9.0,0.625,0.25,0.0
4,10,0.10879946412361668,0.12021779674827325,0.10913172925131549,0.09553268500471121,83.81529054893477,2.781208325177431,2.7471777349710464,16.0,0.5,0.125,0.0
4,11,0.1104643472396837,0.12192784883515506,0.11395066224932375,0.09209618318444557,86.35041407803088,2.5513070334087717,3.231027906591242,11.0,0.625,0.5,1.0
4,12,0.11154622156750406,0.11752111199713114,0.15272478665020947,0.10130360914470662,89.5159192280793,3.2322938144207,2.8084274530410767,5.0,0.75,0.375,1.0
4,13,0.09354653897625397,0.1029635262262462,0.12566160236509766,0.09328350075900993,92.20159572371716,5.253971252590418,3.335116222500801,8.0,0.875,0.375,1.0
4,14,0.1291754781376567,0.1488324744889121,0.15913936360284422,0.08508801420389535,83.083256330174,3.9103989261202514,3.079056665301323,12.0,0.625,0.375,1.0
4,15,0.12594260828500708,0.1363887896551055,0.152291942701644,0.0988994369683376,88.11093723732581,3.249841640392939,3.060652414957682,9.0,0.75,0.125,1.0
5,1,0.12411272329990553,0.14018079236749276,0.12135424406519034,0.13058383972976026,86.58663705849443,4.528097651898861,2.4445663392543793,4.0,0.125,0.0,0.0
5,2,0.10933225382080654,0.1308507755216002,0.13171470022653842,0.08898172183469749,90.15440742440083,3.0277220819843933,2.6719880808144807,20.0,0.125,0.0,0.0
5,3,0.12401226249825159,0.14278061201337888,0.1289401468126685,0.07606433296383423,90.1070097771041,3.8917876332998276,3.500291485339403,16.0,0.25,0.0,0.0
5,4,0.100934432298923,0.11784028352124207,0.12816169215265868,0.09293482568912248,82.07398636361802,2.3686325508356094,3.0824196100234986,25.0,0.875,0.375,1.0
5,5,0.106629570523785,0.1327608631979498,0.11615034142069007,0.10181124531869298,82.43936483908978,4.651161405775282,3.5616458654403687,9.0,0.625,0.0,1.0
5,6,0.10567986790232868,0.1154146956706372,0.1063178705003618,0.08946488632451277,73.7709331231594,3.1301646961106195,3.693523791101244,9.0,0.375,0.0,0.0
