word_idx,word,start,end,final_tok,tee_k3,has_trailing_punct,surp_small,entropy_small,surp_xl
0,Act,3.71,3.79,0,,0,0.0,6.728546142578125,16.337551932471957
1,"one,",3.99,4.19,2,,1,12.616251535216007,6.073781967163086,15.583388612351138
2,monkey,4.651,4.931,3,1965.0705282039362,0,20.429534292723208,7.172616481781006,15.757357762053491
3,in,4.951,5.011,4,96.23756659646004,0,6.704619816377973,4.277736663818359,7.882734209793661
4,the,5.051,5.111,5,65.76627469961068,0,1.4512725036180951,6.1125640869140625,1.3503188429050332
5,middle.,5.151,5.391,7,100.11857385843332,1,7.28553318343392,5.1407999992370605,5.345406390924007
6,So,6.592,6.731999999999999,8,76.36713854070427,0,7.126414146925046,4.730373859405518,9.321650754768878
7,there's,6.752,6.911999999999999,10,86.45845605198545,0,7.205734609294784,4.160295009613037,8.727128401604574
8,some,6.892,7.052,11,80.74241011025826,0,5.694457702755956,7.279906749725342,6.352960126511475
9,places,7.071999999999999,7.342,12,89.52316832938,0,12.7923075951645,2.657895088195801,12.004619965680403
10,where,7.401999999999999,7.502,13,70.7268513971621,0,1.1562559580764706,4.178663730621338,1.6858567401449023
11,animals,7.542,7.782,14,91.71706519551256,0,10.884973905745522,4.257286548614502,10.796101522434917
12,almost,7.901999999999999,8.081999999999999,15,90.64436333916186,0,11.563923575168701,5.255621910095215,12.329133811254946
13,never,8.161999999999999,8.411999999999999,16,89.25233430939251,0,4.003892322345669,4.792448043823242,4.478879195062898
14,go,8.452,8.681999999999999,17,90.14253733731785,0,4.123064604573337,4.167983055114746,4.509662000917301
15,places,9.572,9.862,18,91.51646359802614,0,12.127217663609054,3.4865806102752686,15.305259689921606
16,that,9.862,9.932,19,81.03532481453202,0,2.1589085352398887,4.064290523529053,3.1090256206569284
17,are,9.992,10.042,20,71.72843135015881,0,2.438838848639153,6.243585586547852,3.702475642555694
18,designed,10.042,10.611999999999998,21,80.81726711348435,0,7.572923072331708,1.7958755493164062,9.388443827803112
19,by,10.732,10.962,22,83.5314420671468,0,5.901103112934862,4.084873199462891,5.2619841738061375
20,humans,11.002,11.582,23,90.33480122391687,0,1.3979406835855381,2.795513153076172,1.0483911989822547
21,for,11.692,11.882,24,95.11622160245753,0,4.1246719544283,3.7403013706207275,4.6430768760991326
22,humans,11.942,12.492,25,67.52751295413664,0,2.821353545607716,2.246901512145996,3.8830648793137783
23,This,13.092,13.312,26,74.95067323709404,0,20.97333105200055,4.167732238769531,16.977281418548248
24,act,13.392,13.712,27,89.4731610172826,0,14.456128297504415,3.7017171382904053,11.153198132569017
25,ends,14.142,14.372,28,95.39924360065424,0,11.234396560948317,2.432929515838623,10.22295513134521
26,up,14.432,14.532,29,93.14804708170027,0,0.9227622502800462,4.048571586608887,4.329358436239402
27,in,14.572,14.602,30,84.5894434219653,0,5.175545113231958,5.368741989135742,5.13295876293819
28,a,14.622,14.652,31,68.21124288327628,0,2.896467828285302,6.425597190856934,2.0485646883550555
29,place,14.672,14.872,32,79.85712005164095,0,5.170467497447884,2.2715930938720703,4.480735892539469
30,like,14.872,15.012,33,83.0865534877865,0,3.8091608383226325,6.590489387512207,5.269341202119967
31,that,15.012,15.322,34,76.69727232636797,0,5.675693707616221,4.01126766204834,5.250926534704889
32,but,16.122,16.392,35,80.14341737071383,0,7.839255405457854,4.1254353523254395,7.982291544015243
33,it,16.442,16.492,36,67.32664083541684,0,2.0894220408464865,3.105954170227051,2.319516410821142
34,starts,16.552,16.802,37,80.59267893226695,0,7.815152380904733,3.4942569732666016,9.283644130504612
35,about,16.822,16.972,38,83.30019648498806,0,10.61586577263445,4.245473384857178,10.075780021439293
36,as,16.972,17.052,39,80.68501822405716,0,5.292529432175349,3.843881368637085,4.797367808166603
37,far,17.092,17.232,40,95.14299551756736,0,1.8401402397095306,2.270467758178711,2.267779364450118
38,from,17.291999999999998,17.412,41,91.12805563393528,0,3.657309444673919,3.926579713821411,1.4835778484579696
39,there,17.432,17.562,42,89.14625805653792,0,5.100417587890255,0.5145909190177917,2.97780487325364
40,as,17.562,17.652,43,89.42539834982692,0,0.09565247234145395,3.7270474433898926,0.1238419767582143
41,you,17.712,17.782,44,76.50790228536134,0,1.809929251311017,1.7289776802062988,2.3109148662870673
42,can,17.782,17.902,45,75.59716951155396,0,0.5790675202598989,2.2143688201904297,0.15596656667356618
43,get,17.902,18.162,46,74.34127853189918,0,1.317348581495321,4.494984149932861,0.4757355648041096
44,Dana,19.052,19.242,47,105.89571024576396,0,18.89649607740541,6.697291851043701,20.433961517227214
45,Chivvis,19.242,19.542,50,128.47842985726464,0,28.75878478082369,6.238292694091797,14.220221119008473
46,explains,19.562,20.072,51,105.90585263762634,0,7.537559311730694,4.655620098114014,9.855719099873964
47,Our,21.2339279296875,21.3239279296875,52,107.2187042022835,0,12.13886157700307,7.826857566833496,13.787064901958884
48,story,21.3239279296875,21.6139279296875,53,95.12504514216404,0,7.492004547170153,4.378683090209961,7.391763211183251
49,begins,21.6139279296875,21.9439279296875,54,97.0377776569435,0,3.84262763028463,3.2993876934051514,1.5265393223827575
50,deep,21.9439279296875,22.1939279296875,55,95.64276221747465,0,12.92817801692974,2.000103712081909,11.30366594191972
51,in,22.1939279296875,22.2739279296875,56,86.92526405257793,0,1.3197968405216784,4.719814777374268,0.5633678739777627
52,the,22.293927929687506,22.3239279296875,57,66.42965125457671,0,1.4941716840666632,7.010066032409668,0.22414361227839927
53,rainforests,22.3639279296875,23.0739279296875,60,91.86049625243064,0,15.758406248908482,2.5600810050964355,11.947639528588605
54,of,23.0939279296875,23.1939279296875,61,77.37456920356749,0,0.9625297986390535,5.386066436767578,0.1765041524488485
55,Indonesia,23.2139279296875,23.7739279296875,62,91.72727141897809,0,6.449665855432912,3.8602123260498047,5.2746342940269235
56,on,23.9139279296875,24.1039279296875,63,93.00244167887732,0,7.49066239456282,4.059808731079102,7.356867813523752
57,an,24.1139279296875,24.2139279296875,64,69.17370725244555,0,5.059028587098913,4.256479740142822,4.005172262165858
58,island,24.2339279296875,24.4839279296875,65,108.38506665715776,0,1.4930022020407963,4.158734321594238,1.0260286374758738
59,called,24.4839279296875,24.6739279296875,66,102.3282485169994,0,2.5946289889579264,6.640084266662598,1.0640117003037923
60,Sulawesi,24.6739279296875,25.4239279296875,69,132.47375186241158,0,6.7104910663006585,3.33516788482666,3.7750608413768245
61,A,26.1939279296875,26.2639279296875,70,95.19945725666813,0,7.946342810774693,7.3126301765441895,14.128891613557066
62,few,26.3039279296875,26.4839279296875,71,96.78420169688327,0,6.323539970665559,3.7857985496520996,5.105919713215535
63,years,26.4639279296875,26.7139279296875,72,86.77411312687772,0,2.694525111711589,1.4938454627990723,1.749946664537819
64,ago,26.7339279296875,27.0839279296875,73,86.06716663995996,0,0.6289269675758731,3.059915542602539,0.30432746275591194
65,the,27.2539279296875,27.3239279296875,74,87.26554504645227,0,4.316171540476322,6.822273254394531,3.982742582920148
66,photographer,27.3239279296875,27.8339279296875,75,92.14183624825252,0,10.068395463934682,6.367152214050293,10.271466217418096
67,David,27.8339279296875,28.0939279296875,76,103.71369407838915,0,7.794834350531801,7.191598892211914,6.691022426730027
68,Slater,28.0939279296875,28.4439279296875,77,98.25755381223533,0,12.179585692866176,4.883082866668701,4.65574826007436
69,traveled,28.4439279296875,28.8239279296875,78,110.0820606939418,0,6.638770411085018,2.2364940643310547,6.395043770841727
70,there,28.8239279296875,28.9839279296875,79,98.46660916772437,0,4.454917512163988,2.951348066329956,2.828593515354291
71,from,28.9839279296875,29.1439279296875,80,95.24844091744308,0,5.538318781621233,5.116080284118652,8.042178915694006
72,his,29.1639279296875,29.2739279296875,81,80.1577806825207,0,3.1700578292778583,4.828457355499268,2.885966199449733
73,home,29.293927929687506,29.4539279296875,82,96.35059931763999,0,1.7791044568315741,1.642566204071045,0.31327215560401034
74,in,29.4539279296875,29.5239279296875,83,94.87888956011801,0,0.41980333039369666,5.787353515625,0.1511926867894513
75,England,29.543927929687506,29.9639279296875,84,84.32929547275762,0,6.504053648941766,2.723262310028076,3.838496244868726
76,to,30.1639279296875,30.2539279296875,85,89.67814274739821,0,2.1543706010142225,4.859038352966309,1.4803027134061906
77,photograph,30.2539279296875,30.6839279296875,86,87.37719520574672,0,2.9254307385865044,4.577182769775391,2.931168084201125
78,a,30.6839279296875,30.723927929687505,87,100.93530169012777,0,2.7246193238901664,6.545332908630371,2.881190377521362
79,troop,30.723927929687505,30.9239279296875,88,85.49603769764585,0,14.738574717085802,1.101306676864624,11.382496551200726
80,of,30.9239279296875,31.0239279296875,89,97.91053855083118,0,0.1979594908905739,6.524693489074707,0.017935742607352815
81,monkeys,31.0239279296875,31.4439279296875,90,92.18829268943882,0,3.3722220595058827,4.077287673950195,5.5428215752166015
82,I'd,31.8098279296875,31.9898279296875,92,80.75423799509058,0,13.933043064905183,4.5537309646606445,17.962576591585226
83,gone,31.9898279296875,32.1298279296875,93,102.54442157005678,0,9.067988894200207,2.66744327545166,10.382701473821875
84,a,32.1298279296875,32.1598279296875,94,91.34660913655667,0,9.62722831966382,2.964233875274658,7.801376618858733
85,whole,32.1598279296875,32.3398279296875,95,82.12193958010346,0,7.335525100386722,3.74287748336792,8.229797573704207
86,day,32.3398279296875,32.6098279296875,96,99.70691313879541,0,4.844231887199713,4.180353164672852,6.026882208738159
87,just,32.6098279296875,32.799827929687495,97,94.47271260156477,0,8.031032571504367,2.4953277111053467,7.2017779070334225
88,following,32.799827929687495,33.1998279296875,98,88.91083958931124,0,11.00130365871973,3.139591932296753,9.076491586819238
89,them,33.1998279296875,33.439827929687496,99,89.59678637692535,0,6.238405118835451,3.5476584434509277,1.762635507271801
90,Mm,33.6956279296875,33.8256279296875,101,85.97423016047632,0,23.359099838201757,2.71914005279541,25.93029666048602
91,into,33.8053279296875,33.9953279296875,102,108.16301172522746,0,18.776761755874723,4.76577091217041,12.246361024005532
92,the,33.9953279296875,34.0553279296875,103,79.04301741998246,0,1.5590124111123085,4.57993221282959,0.877299189477035
93,thick,34.0953279296875,34.3153279296875,104,92.74664507322939,0,9.687931316112357,2.035006523132324,7.820154757080849
94,of,34.3353279296875,34.3953279296875,105,90.54034194597968,0,0.5781781549766246,2.5824649333953857,2.0493543374835057
95,the,34.3953279296875,34.4553279296875,106,71.19482420965625,0,0.8672019650489344,3.702491283416748,0.9431279614755089
96,forest,34.4553279296875,35.0753279296875,107,92.51061033015702,0,5.66826061744593,5.072474956512451,2.785218867969756
97,through,35.5153279296875,35.6753279296875,108,96.51374341276237,0,10.01922837577542,3.8845057487487793,9.158724114699254
98,the,35.6753279296875,35.7453279296875,109,76.67626235498834,0,1.5478703430935106,5.846168041229248,1.604127017389048
99,tangles,35.7453279296875,36.3853279296875,111,96.67480334681485,0,16.250579088739947,2.9272348880767822,14.670512147683056
100,and,36.4253279296875,36.545327929687495,112,89.4506749962133,0,3.3761415441190463,6.576897621154785,3.63075415737705
101,the,36.545327929687495,36.6653279296875,113,70.37255802340513,0,3.6166892063319342,7.279020309448242,3.482602142782788
102,vines,36.7053279296875,37.5353279296875,114,94.85141172396506,0,10.039806443916456,4.505100727081299,6.3060424715960375
103,and,37.5353279296875,37.6453279296875,115,99.44613045945367,0,2.4194486646676254,4.503721714019775,1.5310982252936955
104,the,37.685327929687496,38.01532792968749,116,69.73465523926008,0,1.4590160224731932,7.1689839363098145,0.8127506523232418
105,muddy,38.295327929687495,38.5253279296875,117,98.59995934444693,0,9.98348900506492,6.243577480316162,10.372229530500512
106,undergrowth,38.58532792968749,39.33532792968749,119,94.86640649199238,0,9.721773202235886,4.365657329559326,7.073165353929282
107,and,39.33532792968749,39.44532792968749,120,90.19385261959142,0,2.539730750941311,4.204078674316406,2.6134404740102073
108,the,39.4653279296875,39.6353279296875,121,66.10649136755057,0,1.65096310737876,7.542387962341309,1.234872049147761
109,cobwebs,39.8153279296875,40.4653279296875,124,97.23480663725584,0,12.502597252645549,2.8393964767456055,9.94880233546928
110,and,40.4653279296875,40.5653279296875,125,78.44001782517113,0,1.042202051521131,2.3075804710388184,1.275542507902963
111,the,40.5653279296875,40.685327929687496,126,68.90227978591959,0,0.48837268430571035,7.362926483154297,0.4816694411185887
112,poisonous,41.185327929687496,41.8153279296875,127,95.9492532060556,0,10.832312130120727,6.37337589263916,6.678022711204631
113,snakes,41.795327929687495,42.405327929687495,128,84.954469397394,0,4.8143258240411795,3.079111099243164,3.1229208228217624
114,and,42.405327929687495,42.58532792968749,129,104.60589821945217,0,1.1666596185837892,2.685476541519165,1.6843622684958013
115,Oh,42.37532792968749,42.62532792968749,130,99.41623225758568,0,18.36964029716866,5.644857883453369,16.130604597052294
116,man,42.6053279296875,42.9153279296875,131,107.92158228710093,0,7.097459147825784,3.868295192718506,7.191814683403932
